                ---  DERIVADA NUMÉRICA DE LAS INTEGRALES  ---
Se muestran todas las derivadas numéricas de las integrales del fichero ResultadosIntegrales.txt:
Se ha utlizado el método de las diferencias centrales. También se muestra la solución analítica.
INTERVALO 	 DERIVADA NUMÉRICA 	 SOLUCIÓN ANALÍTICA 	 ERROR RELATIVO
[-4,-4] 	0.0001642510218	0.2419860523	-0.2418218013
[-4,-3.9] 	0.0002033840105	0.0001986554714	4.72853907e-06
[-4,-3.8] 	0.0002985169473	0.0002919469258	6.57002153e-06
[-4,-3.7] 	0.0004338027313	0.0004247802706	9.022460715e-06
[-4,-3.6] 	0.0006241467281	0.0006119019301	1.224479802e-05
[-4,-3.5] 	0.0008891033785	0.000872682695	1.642068349e-05
[-4,-3.4] 	0.001253975319	0.001232219168	2.175615043e-05
[-4,-3.3] 	0.001751043366	0.001722568939	2.847442659e-05
[-4,-3.2] 	0.002420895363	0.002384088201	3.680716111e-05
[-4,-3.1] 	0.003313800483	0.003266819056	4.69814271e-05
[-4,-3] 	0.00449105046	0.004431848412	5.920204811e-05
[-4,-2.9] 	0.006026161532	0.00595253242	7.362911177e-05
[-4,-2.8] 	0.008005802568	0.007915451583	9.03509854e-05
[-4,-2.7] 	0.01053028854	0.01042093481	0.0001093537285
[-4,-2.6] 	0.01371345771	0.01358296923	0.0001304884803
[-4,-2.5] 	0.01768173963	0.01752830049	0.0001534391339
[-4,-2.4] 	0.02257222362	0.02239453029	0.0001776933242
[-4,-2.3] 	0.02852955809	0.02832703774	0.000202520344
[-4,-2.2] 	0.03570155282	0.03547459285	0.0002269599758
[-4,-2.1] 	0.04423342222	0.04398359598	0.0002498262436
[-4,-2] 	0.05426069619	0.05399096651	0.0002697296799
[-4,-1.9] 	0.06590093555	0.06561581477	0.0002851207769
[-4,-1.8] 	0.07924451415	0.0789501583	0.0002943558479
[-4,-1.7] 	0.09434486197	0.09404907738	0.0002957845959
[-4,-1.6] 	0.1112086911	0.1109208347	0.0002878564063
[-4,-1.5] 	0.1297868356	0.1295175957	0.0002692399331
[-4,-1.4] 	0.1499664138	0.1497274656	0.000238948193
[-4,-1.3] 	0.1715650515	0.171368592	0.000196459421
[-4,-1.2] 	0.1943278776	0.194186055	0.0001418226657
[-4,-1.1] 	0.2179279138	0.217852177	7.57367939e-05
