                ---  CUADRATURA DE GAUSS  ---
Se muestran todas las integrales variando el valor de lambda:
lambda 	 Cuadratura n=2
0.003		0.782792
0.00296923		0.78275
0.00293846		0.782707
0.00290769		0.782665
0.00287692		0.782622
0.00284615		0.78258
0.00281538		0.782537
0.00278462		0.782495
0.00275385		0.782452
0.00272308		0.78241
0.00269231		0.782367
0.00266154		0.782325
0.00263077		0.782282
0.0026		0.78224
0.00256923		0.782197
0.00253846		0.782155
0.00250769		0.782113
0.00247692		0.78207
0.00244615		0.782028
0.00241539		0.781985
0.00238462		0.781943
0.00235385		0.7819
0.00232308		0.781858
0.00229231		0.781815
0.00226154		0.781773
0.00223077		0.78173
0.0022		0.781688
0.00216923		0.781645
0.00213846		0.781603
0.00210769		0.781561
0.00207692		0.781518
0.00204615		0.781476
0.00201539		0.781433
0.00198462		0.781391
0.00195385		0.781348
0.00192308		0.781306
0.00189231		0.781264
0.00186154		0.781221
0.00183077		0.781179
0.0018		0.781136
0.00176923		0.781094
0.00173846		0.781052
0.00170769		0.781009
0.00167692		0.780967
0.00164616		0.780924
0.00161539		0.780882
0.00158462		0.78084
0.00155385		0.780797
0.00152308		0.780755
0.00149231		0.780712
0.00146154		0.78067
0.00143077		0.780628
0.0014		0.780585
