#DATOS PARA h=0.125
Tiempo	X		X'		SolExacta
0		1		0		1
0.125		0.953125		-0.515625		0.961824
0.25		0.864136		-0.761353		0.874859
0.375		0.758201		-0.84409		0.767795
0.5		0.650121		-0.832776		0.657378
0.625		0.54808		-0.771125		0.552804
0.75		0.45612		-0.686239		0.458592
0.875		0.375766		-0.59439		0.376442
1		0.307071		-0.50488		0.306432
1.125		0.249289		-0.422607		0.247761
1.25		0.201286		-0.349748		0.19922
1.375		0.161794		-0.286859		0.159457
1.5		0.129558		-0.233578		0.127143
1.625		0.103412		-0.189067		0.101052
1.75		0.0823166		-0.152287		0.0800971
1.875		0.0653709		-0.122157		0.0633401
2		0.0518088		-0.0976484		0.0499894
2.125		0.0409886		-0.0778267		0.0393855
2.25		0.032379		-0.0618722		0.0309852
2.375		0.0255441		-0.0490816		0.0243456
2.5		0.0201288		-0.0388623		0.0191077
2.625		0.0158455		-0.0307209		0.0149823
2.75		0.0124627		-0.0242508		0.0117378
2.875		0.00979442		-0.0191198		0.00918922
3		0.00769219		-0.0150583		0.00718944
3.125		0.00603755		-0.0118484		0.00562173
3.25		0.00473632		-0.00931499		0.00439373
3.375		0.0037138		-0.00731798		0.00343251
3.5		0.00291083		-0.00574543		0.00268057
3.625		0.00228063		-0.00450827		0.00209267
3.75		0.0017863		-0.00353575		0.00163324
3.875		0.00139871		-0.0027718		0.00127435
4		0.00109495		-0.00217208		0.000994099
4.125		0.000856958		-0.00170153		0.00077533
4.25		0.000670563		-0.00133251		0.0006046
4.375		0.000524618		-0.00104325		0.000471395
4.5		0.000410372		-0.00081658		0.000367487
4.625		0.000320961		-0.000639027		0.00028645
4.75		0.000251		-0.000499986		0.00022326
4.875		0.000196266		-0.000391133		0.000173994
5		0.000153453		-0.000305934		0.000135588
