#DATOS PARA h=0.25
Tiempo	X		X'		SolExacta
0		1		0		1
0.25		0.8125		-0.5625		0.874859
0.5		0.607422		-0.650391		0.657378
0.75		0.432556		-0.565247		0.458592
1		0.29846		-0.437616		0.306432
1.25		0.201472		-0.318314		0.19922
1.5		0.133854		-0.222749		0.127143
1.75		0.0878739		-0.151863		0.0800971
2		0.0571604		-0.101632		0.0499894
2.25		0.0369148		-0.0670887		0.0309852
2.5		0.0237037		-0.0438263		0.0191077
2.75		0.0151506		-0.0283986		0.0117378
3		0.00964745		-0.0182842		0.00718944
3.25		0.00612441		-0.0117119		0.00439373
3.5		0.00387809		-0.00747094		0.00268057
3.75		0.00245055		-0.00474956		0.00163324
4		0.0015458		-0.0030111		0.000994099
4.25		0.000973672		-0.00190458		0.0006046
4.5		0.000612555		-0.00120239		0.000367487
4.75		0.000384977		-0.000757883		0.00022326
5		0.000241742		-0.000477072		0.000135588
