#DATOS PARA h=0.005
ro		Función		FunciónReal		Error
5    50    50    0
5.005    49.954    49.928    0.025655
5.01    49.907    49.856    0.051227
5.015    49.861    49.784    0.076715
5.02    49.814    49.712    0.10212
5.025    49.768    49.64    0.12744
5.03    49.721    49.568    0.15268
5.035    49.675    49.497    0.17784
5.04    49.628    49.425    0.20291
5.045    49.582    49.354    0.2279
5.05    49.535    49.282    0.25281
5.055    49.488    49.211    0.27764
5.06    49.442    49.14    0.30238
5.065    49.395    49.068    0.32705
5.07    49.349    48.997    0.35163
5.075    49.302    48.926    0.37613
5.08    49.256    48.855    0.40055
5.085    49.209    48.784    0.42489
5.09    49.162    48.713    0.44914
5.095    49.116    48.642    0.47332
5.1    49.069    48.572    0.49741
5.105    49.022    48.501    0.52143
5.11    48.976    48.43    0.54536
5.115    48.929    48.36    0.56922
5.12    48.882    48.289    0.59299
5.125    48.835    48.219    0.61669
5.13    48.789    48.148    0.6403
5.135    48.742    48.078    0.66384
5.14    48.695    48.008    0.68729
5.145    48.649    47.938    0.71067
5.15    48.602    47.868    0.73397
5.155    48.555    47.798    0.75718
5.16    48.508    47.728    0.78032
5.165    48.461    47.658    0.80339
5.17    48.415    47.588    0.82637
5.175    48.368    47.518    0.84927
5.18    48.321    47.449    0.8721
5.185    48.274    47.379    0.89485
5.19    48.227    47.31    0.91752
5.195    48.18    47.24    0.94011
5.2    48.133    47.171    0.96262
5.205    48.087    47.101    0.98506
5.21    48.04    47.032    1.0074
5.215    47.993    46.963    1.0297
5.22    47.946    46.894    1.0519
5.225    47.899    46.825    1.074
5.23    47.852    46.756    1.0961
5.235    47.805    46.687    1.1181
5.24    47.758    46.618    1.14
5.245    47.711    46.549    1.1618
5.25    47.664    46.481    1.1835
5.255    47.617    46.412    1.2052
5.26    47.57    46.343    1.2268
5.265    47.523    46.275    1.2483
5.27    47.476    46.206    1.2698
5.275    47.429    46.138    1.2911
5.28    47.382    46.07    1.3124
5.285    47.335    46.001    1.3337
5.29    47.288    45.933    1.3548
5.295    47.241    45.865    1.3759
5.3    47.194    45.797    1.3969
5.305    47.147    45.729    1.4178
5.31    47.099    45.661    1.4386
5.315    47.052    45.593    1.4594
5.32    47.005    45.525    1.4801
5.325    46.958    45.457    1.5007
5.33    46.911    45.39    1.5213
5.335    46.864    45.322    1.5417
5.34    46.817    45.254    1.5621
5.345    46.769    45.187    1.5825
5.35    46.722    45.119    1.6027
5.355    46.675    45.052    1.6229
5.36    46.628    44.985    1.643
5.365    46.581    44.917    1.6631
5.37    46.533    44.85    1.683
5.375    46.486    44.783    1.7029
5.38    46.439    44.716    1.7227
5.385    46.392    44.649    1.7425
5.39    46.344    44.582    1.7621
5.395    46.297    44.515    1.7817
5.4    46.25    44.448    1.8013
