                ---  INTEGRAL DE LA FUNCIÓN GAUSSIANA  ---
Se muestran todas las integrales variando el límite superior de hasta donde se calcula la integral:
INTERVALO 	 INTEGRAL(Simpson 1/3)
[-4,-4] 	0
[-4,-3.9] 	1.642510218e-05
[-4,-3.8] 	4.067680209e-05
[-4,-3.7] 	7.612849165e-05
[-4,-3.6] 	0.0001274373483
[-4,-3.5] 	0.0002009578373
[-4,-3.4] 	0.0003052580241
[-4,-3.3] 	0.0004517529011
[-4,-3.2] 	0.0006554666972
[-4,-3.1] 	0.0009359319736
[-4,-3] 	0.001318226794
[-4,-2.9] 	0.001834142066
[-4,-2.8] 	0.0025234591
[-4,-2.7] 	0.003435302579
[-4,-2.6] 	0.004629516809
[-4,-2.5] 	0.006177994122
[-4,-2.4] 	0.008165864734
[-4,-2.3] 	0.01069243885
[-4,-2.2] 	0.01387177635
[-4,-2.1] 	0.01783274941
[-4,-2] 	0.0227184608
[-4,-1.9] 	0.02868488865
[-4,-1.8] 	0.03589864791
[-4,-1.7] 	0.04453379148
[-4,-1.6] 	0.0547676203
[-4,-1.5] 	0.0667755297
[-4,-1.4] 	0.08072498742
[-4,-1.3] 	0.09676881246
[-4,-1.2] 	0.1150379977
[-4,-1.1] 	0.135634388
[-4,-1] 	0.1586235805
[-4,-0.9] 	0.1840284514
[-4,-0.8] 	0.2118237241
[-4,-0.7] 	0.2419319773
[-4,-0.6] 	0.2742214425
[-4,-0.5] 	0.3085058634
[-4,-0.4] 	0.3445465832
[-4,-0.3] 	0.382056903
[-4,-0.2] 	0.4207086166
[-4,-0.1] 	0.4601404899
[-4,2.414735079e-15] 	0.4999683287
[-4,0.1] 	0.5397961678
[-4,0.2] 	0.5792280421
[-4,0.3] 	0.6178797571
[-4,0.4] 	0.6553900789
[-4,0.5] 	0.6914308009
[-4,0.6] 	0.725715224
[-4,0.7] 	0.7580046912
[-4,0.8] 	0.7881129461
[-4,0.9] 	0.81590822
[-4,1] 	0.8413130914
[-4,1.1] 	0.8643022837
[-4,1.2] 	0.884898673
[-4,1.3] 	0.9031678567
[-4,1.4] 	0.9192116795
[-4,1.5] 	0.9331611345
[-4,1.6] 	0.9451690409
[-4,1.7] 	0.9554028666
[-4,1.8] 	0.964038007
[-4,1.9] 	0.9712517633
[-4,2] 	0.9772181885
[-4,2.1] 	0.9821038976
[-4,2.2] 	0.9860648689
[-4,2.3] 	0.989244205
[-4,2.4] 	0.9917707783
[-4,2.5] 	0.9937586486
[-4,2.6] 	0.995307126
[-4,2.7] 	0.9965013407
[-4,2.8] 	0.9974131849
[-4,2.9] 	0.9981025028
[-4,3] 	0.9986184192
[-4,3.1] 	0.9990007151
[-4,3.2] 	0.9992811816
[-4,3.3] 	0.9994848965
[-4,3.4] 	0.9996313924
[-4,3.5] 	0.9997356935
[-4,3.6] 	0.9998092148
[-4,3.7] 	0.9998605244
[-4,3.8] 	0.9998959767
[-4,3.9] 	0.9999202289
[-4,4] 	0.9999366544
