#ERRORES FRENTE ITERACIONES GAUSS PARA TOLERANCIA 10e-6
error		iteraciones
0.00113698		1
0.000969734		2
0.000854363		3
0.000766268		4
0.000693776		5
0.000631221		6
0.000575748		7
0.000525822		8
0.000480537		9
0.000439297		10
0.000401663		11
0.000367284		12
0.000335863		13
0.000307136		14
0.000280869		15
0.00025685		16
0.000234886		17
0.0002148		18
0.000196432		19
0.000179635		20
0.000164274		21
0.000150227		22
0.000137381		23
0.000125633		24
0.00011489		25
0.000105066		26
9.60814e-05		27
8.78654e-05		28
8.03519e-05		29
7.34809e-05		30
6.71975e-05		31
6.14514e-05		32
5.61966e-05		33
5.13912e-05		34
4.69966e-05		35
4.29779e-05		36
3.93028e-05		37
3.5942e-05		38
3.28685e-05		39
3.00579e-05		40
2.74876e-05		41
2.51371e-05		42
2.29876e-05		43
2.10219e-05		44
1.92243e-05		45
1.75804e-05		46
1.60771e-05		47
1.47023e-05		48
1.34451e-05		49
1.22954e-05		50
1.1244e-05		51
1.02825e-05		52
9.40325e-06		53
8.59917e-06		54
7.86384e-06		55
7.1914e-06		56
6.57645e-06		57
6.01409e-06		58
5.49982e-06		59
5.02952e-06		60
4.59944e-06		61
4.20614e-06		62
3.84647e-06		63
3.51755e-06		64
3.21676e-06		65
2.94169e-06		66
2.69014e-06		67
2.46011e-06		68
2.24974e-06		69
2.05736e-06		70
1.88143e-06		71
1.72055e-06		72
1.57342e-06		73
1.43888e-06		74
1.31584e-06		75
1.20332e-06		76
1.10042e-06		77
1.00632e-06		78
9.20272e-07		79
