#DATOS PARA h=0.1
t		Y1		Y2		V1		V2
0		3		4		0		0
0.1		2.99002		3.995		-0.199292		-0.100167
0.2		2.96028		3.97993		-0.39437		-0.20132
0.3		2.91142		3.95467		-0.581163		-0.304396
0.4		2.84445		3.91896		-0.755883		-0.410226
0.5		2.76076		3.87251		-0.915149		-0.519498
0.6		2.66204		3.81493		-1.0561		-0.632707
0.7		2.55023		3.74582		-1.17651		-0.75013
0.8		2.42747		3.66476		-1.2748		-0.871794
0.9		2.29603		3.57133		-1.35018		-0.997465
1		2.15821		3.46515		-1.40256		-1.12664
1.1		2.01626		3.34591		-1.43265		-1.25856
1.2		1.87237		3.21338		-1.44183		-1.39219
1.3		1.72853		3.06746		-1.43218		-1.52631
1.4		1.58648		2.90815		-1.4063		-1.65947
1.5		1.44771		2.73565		-1.36731		-1.79009
1.6		1.31334		2.55028		-1.31865		-1.91648
1.7		1.18418		2.35255		-1.26397		-2.03689
1.8		1.06063		2.14315		-1.20701		-2.14958
1.9		0.942729		1.92295		-1.15144		-2.25285
2		0.830175		1.69295		-1.10072		-2.34512
2.1		0.722318		1.45434		-1.05798		-2.42496
2.2		0.618222		1.20842		-1.0259		-2.49115
2.3		0.516711		0.956598		-1.00658		-2.54271
2.4		0.41643		0.700385		-1.0015		-2.57894
2.5		0.315909		0.441336		-1.01144		-2.59942
2.6		0.213637		0.181031		-1.03647		-2.60404
2.7		0.108132		-0.0789502		-1.07592		-2.59302
2.8		-0.00198422		-0.337066		-1.12841		-2.56684
2.9		-0.11792		-0.591839		-1.19192		-2.5263
3		-0.240651		-0.841882		-1.26385		-2.47244
3.1		-0.370868		-1.08592		-1.34109		-2.40651
3.2		-0.508932		-1.32283		-1.4202		-2.32993
3.3		-0.654846		-1.55161		-1.49746		-2.24426
3.4		-0.808236		-1.77143		-1.56908		-2.15113
3.5		-0.968347		-1.98164		-1.63128		-2.05217
3.6		-1.13406		-2.18173		-1.68049		-1.949
3.7		-1.3039		-2.37135		-1.71342		-1.84312
3.8		-1.4761		-2.55031		-1.72726		-1.73594
3.9		-1.64864		-2.71853		-1.71971		-1.62865
4		-1.81928		-2.87607		-1.68913		-1.52226
4.1		-1.98566		-3.02304		-1.63457		-1.41751
4.2		-2.14538		-3.15964		-1.55585		-1.3149
4.3		-2.29604		-3.2861		-1.45353		-1.21469
4.4		-2.43535		-3.40266		-1.32892		-1.11684
4.5		-2.56115		-3.50954		-1.18404		-1.0211
4.6		-2.67157		-3.60693		-1.02156		-0.926968
4.7		-2.76498		-3.69497		-0.844688		-0.83377
4.8		-2.84014		-3.77369		-0.657095		-0.740672
4.9		-2.89618		-3.84307		-0.462766		-0.646733
5		-2.93261		-3.90298		-0.265875		-0.550954
5.1		-2.94941		-3.95317		-0.070642		-0.452327
5.2		-2.94693		-3.99332		0.118815		-0.349892
5.3		-2.92597		-4.02299		0.298615		-0.242782
5.4		-2.88765		-4.04169		0.46525		-0.130274
5.5		-2.83346		-4.04885		0.615696		-0.0118284
5.6		-2.76513		-4.04385		0.747521		0.112871
5.7		-2.68464		-4.02606		0.858957		0.243895
5.8		-2.59406		-3.99486		0.948954		0.381046
5.9		-2.49557		-3.94966		1.01722		0.523853
6		-2.39133		-3.88993		1.06419		0.671571
6.1		-2.28341		-3.81522		1.09104		0.823196
6.2		-2.17373		-3.7252		1.09962		0.977481
6.3		-2.06401		-3.61968		1.09236		1.13297
6.4		-1.95569		-3.49862		1.07219		1.28805
6.5		-1.84989		-3.36214		1.04242		1.44096
6.6		-1.74741		-3.21056		1.00659		1.58988
6.7		-1.64865		-3.04436		0.968394		1.73298
6.8		-1.55369		-2.86422		0.931455		1.86843
6.9		-1.4622		-2.67099		0.899245		1.99453
7		-1.37357		-2.46568		0.874925		2.10969
7.1		-1.28686		-2.24946		0.861233		2.21252
7.2		-1.2009		-2.02362		0.86037		2.30186
7.3		-1.11431		-1.78957		0.873922		2.37681
7.4		-1.0256		-1.54876		0.902789		2.43676
7.5		-0.933231		-1.30273		0.947155		2.48139
7.6		-0.83567		-1.053		1.00647		2.51071
7.7		-0.731479		-0.801086		1.07947		2.52501
7.8		-0.619382		-0.548475		1.16423		2.52487
7.9		-0.498325		-0.296565		1.25819		2.51115
8		-0.367536		-0.0466632		1.35833		2.48491
8.1		-0.226568		0.200042		1.46118		2.44742
8.2		-0.0753343		0.442492		1.56301		2.40008
8.3		0.0858703		0.679778		1.65995		2.34436
8.4		0.256363		0.911137		1.74813		2.2818
8.5		0.435079		1.13596		1.82382		2.2139
8.6		0.620595		1.35379		1.88357		2.14209
8.7		0.81116		1.56429		1.92435		2.06768
8.8		1.00475		1.76727		1.94364		1.99181
8.9		1.19911		1.96264		1.93953		1.91545
9		1.39183		2.15037		1.91081		1.83931
9.1		1.58043		2.33052		1.85703		1.76386
9.2		1.76241		2.50318		1.77846		1.68932
9.3		1.93533		2.66842		1.67617		1.61565
9.4		2.09691		2.82633		1.55192		1.54257
9.5		2.24506		2.97693		1.40816		1.46956
9.6		2.37799		3.12022		1.24791		1.39593
9.7		2.49421		3.25607		1.07468		1.32081
9.8		2.59262		3.3843		0.892347		1.24322
9.9		2.67251		3.5046		0.705006		1.16212
10		2.73359		3.61657		0.516847		1.07645
10.1		2.77599		3.7197		0.332005		0.985191
10.2		2.80024		3.81339		0.154415		0.887415
10.3		2.80724		3.89694		-0.0123158		0.782323
10.4		2.79824		3.96959		-0.165033		0.669304
10.5		2.77479		4.03052		-0.301141		0.547962
10.6		2.73864		4.0789		-0.418684		0.418152
10.7		2.69171		4.11387		-0.516412		0.279997
10.8		2.63603		4.13463		-0.59381		0.133902
10.9		2.57362		4.14041		-0.651112		-0.0194475
11		2.50645		4.13053		-0.689279		-0.179092
11.1		2.43635		4.10442		-0.709952		-0.343819
11.2		2.36497		4.06165		-0.715388		-0.512192
11.3		2.29369		4.00192		-0.708361		-0.682585
11.4		2.22361		3.92512		-0.692051		-0.853227
11.5		2.15548		3.83132		-0.669924		-1.02225
11.6		2.0897		3.72079		-0.645589		-1.18776
11.7		2.02631		3.59395		-0.622661		-1.34785
11.8		1.965		3.45146		-0.604617		-1.50069
11.9		1.90512		3.29411		-0.594663		-1.6446
12		1.8457		3.12289		-0.595607		-1.77801
12.1		1.78555		2.9389		-0.609747		-1.89963
12.2		1.72326		2.74339		-0.638783		-2.00837
12.3		1.65726		2.53769		-0.68374		-2.10344
12.4		1.58597		2.32318		-0.744934		-2.18434
12.5		1.50775		2.1013		-0.821945		-2.25087
12.6		1.42108		1.87348		-0.91363		-2.30313
12.7		1.32459		1.64114		-1.01816		-2.34152
12.8		1.21711		1.40562		-1.13307		-2.3667
12.9		1.09773		1.16821		-1.25537		-2.37956
13		0.965898		0.93008		-1.38163		-2.38119
13.1		0.821397		0.692301		-1.50809		-2.37283
13.2		0.664403		0.455802		-1.63084		-2.35583
13.3		0.495487		0.221376		-1.74589		-2.33158
13.4		0.315611		-0.0103191		-1.84939		-2.30147
13.5		0.126116		-0.238766		-1.93771		-2.26682
13.6		-0.0713157		-0.463574		-2.00762		-2.22888
13.7		-0.2747		-0.684468		-2.05635		-2.1887
13.8		-0.481805		-0.901271		-2.08175		-2.14719
13.9		-0.69022		-1.11388		-2.08233		-2.10499
14		-0.897417		-1.32226		-2.05735		-2.06255
14.1		-1.10084		-1.52639		-2.0068		-2.02004
14.2		-1.29795		-1.72627		-1.93147		-1.97737
14.3		-1.48635		-1.92185		-1.83285		-1.93423
14.4		-1.66381		-2.11308		-1.71315		-1.89005
14.5		-1.82837		-2.2998		-1.57517		-1.8441
14.6		-1.97835		-2.48181		-1.42224		-1.79544
14.7		-2.11244		-2.65877		-1.25809		-1.74304
14.8		-2.22972		-2.83025		-1.08671		-1.68579
14.9		-2.32968		-2.99573		-0.912229		-1.62256
15		-2.4122		-3.15453		-0.738764		-1.55222
15.1		-2.4776		-3.3059		-0.570275		-1.47377
15.2		-2.52655		-3.44898		-0.410433		-1.38629
15.3		-2.56008		-3.58283		-0.262495		-1.28907
15.4		-2.57954		-3.70645		-0.129188		-1.18161
15.5		-2.58648		-3.8188		-0.0126262		-1.06365
15.6		-2.58267		-3.91883		0.0857618		-0.935199
15.7		-2.56996		-4.0055		0.165273		-0.796564
15.8		-2.55025		-4.07782		0.225949		-0.648335
15.9		-2.52538		-4.13488		0.268558		-0.491386
16		-2.49709		-4.17585		0.294565		-0.326858
16.1		-2.46695		-4.20004		0.30606		-0.156132
16.2		-2.43627		-4.20692		0.305678		0.0192008
16.3		-2.40611		-4.19611		0.296488		0.197389
16.4		-2.37716		-4.16741		0.281873		0.376563
16.5		-2.34979		-4.12083		0.265395		0.554789
16.6		-2.32402		-4.05655		0.250656		0.730125
16.7		-2.29949		-3.97496		0.241153		0.900674
16.8		-2.27551		-3.87663		0.240147		1.06464
16.9		-2.25108		-3.76231		0.250527		1.22038
17		-2.22494		-3.63288		0.274699		1.36644
17.1		-2.19562		-3.48938		0.314487		1.5016
17.2		-2.16148		-3.33296		0.371059		1.62492
17.3		-2.12083		-3.16482		0.444873		1.73573
17.4		-2.07194		-2.98624		0.535655		1.83365
17.5		-2.01316		-2.79852		0.642396		1.91861
17.6		-1.94298		-2.60294		0.763386		1.99084
17.7		-1.86009		-2.40076		0.896267		2.05081
17.8		-1.76343		-2.19317		1.03811		2.09925
17.9		-1.65228		-1.98127		1.18551		2.1371
18		-1.52626		-1.76606		1.33474		2.16544
18.1		-1.3854		-1.54846		1.4818		2.18547
18.2		-1.23011		-1.3292		1.62267		2.19847
18.3		-1.06121		-1.10895		1.75334		2.20571
18.4		-0.879909		-0.888213		1.87004		2.20842
18.5		-0.687782		-0.667381		1.96933		2.20773
18.6		-0.486724		-0.446746		2.04822		2.20465
18.7		-0.2789		-0.226504		2.1043		2.19998
18.8		-0.0666845		-0.00678231		2.13581		2.19433
18.9		0.147407		0.212343		2.14172		2.18808
19		0.360794		0.430818		2.12172		2.18134
19.1		0.570903		0.648591		2.07631		2.17399
19.2		0.775248		0.865583		2.00672		2.16564
19.3		0.971503		1.08167		1.91488		2.15568
19.4		1.15757		1.29664		1.80336		2.1433
19.5		1.33162		1.51021		1.67528		2.12751
19.6		1.49219		1.72199		1.53421		2.10719
19.7		1.63816		1.93146		1.384		2.08114
19.8		1.76882		2.13799		1.22869		2.04812
19.9		1.88386		2.34081		1.07235		2.00691
20		1.98339		2.53906		0.918943		1.95636
20.1		2.06787		2.73174		0.772172		1.89546
20.2		2.13815		2.91777		0.635364		1.82334
20.3		2.19537		3.09601		0.511355		1.73936
20.4		2.24093		3.26524		0.402387		1.64312
20.5		2.27641		3.42422		0.310042		1.5345
20.6		2.30352		3.57173		0.235188		1.41366
20.7		2.32403		3.70656		0.177955		1.28106
20.8		2.33968		3.82757		0.137743		1.13745
20.9		2.35211		3.93372		0.113249		0.983872
21		2.36279		4.02406		0.102529		0.821602
21.1		2.37299		4.0978		0.103071		0.652157
21.2		2.38368		4.1543		0.111906		0.477233
21.3		2.39554		4.19312		0.125716		0.298663
21.4		2.40888		4.21398		0.140975		0.118366
21.5		2.42366		4.2168		0.154083		-0.0617071
21.6		2.4395		4.20171		0.161505		-0.239629
21.7		2.45566		4.16901		0.159917		-0.41355
21.8		2.47108		4.11919		0.146333		-0.581751
21.9		2.48444		4.0529		0.118226		-0.74269
22		2.49418		3.97094		0.0736293		-0.89504
22.1		2.49857		3.87422		0.0112195		-1.03773
22.2		2.49581		3.76374		-0.0696252		-1.16995
22.3		2.48403		3.64059		-0.168793		-1.29119
22.4		2.46146		3.50588		-0.285432		-1.40124
22.5		2.42642		3.36072		-0.417973		-1.50014
22.6		2.37741		3.20621		-0.564177		-1.58825
22.7		2.31322		3.04341		-0.721208		-1.66613
22.8		2.23292		2.8733		-0.885727		-1.73458
22.9		2.13595		2.69678		-1.05401		-1.79455
23		2.02212		2.51464		-1.22206		-1.84713
23.1		1.89168		2.32756		-1.38578		-1.89345
23.2		1.74525		2.13612		-1.54108		-1.93469
23.3		1.58388		1.94075		-1.68402		-1.97199
23.4		1.40898		1.74181		-1.81099		-2.0064
23.5		1.22232		1.53954		-1.91879		-2.03884
23.6		1.02595		1.33409		-2.00475		-2.07006
23.7		0.822164		1.12555		-2.06686		-2.10061
23.8		0.613419		0.913975		-2.10379		-2.1308
23.9		0.402267		0.699397		-2.11496		-2.1607
24		0.191281		0.48185		-2.10055		-2.19012
24.1		-0.0170208		0.261402		-2.06152		-2.21863
24.2		-0.220255		0.0381761		-1.99952		-2.24555
24.3		-0.416235		-0.187626		-1.91688		-2.26999
24.4		-0.603038		-0.415704		-1.8165		-2.29089
24.5		-0.779055		-0.645645		-1.70175		-2.30703
24.6		-0.943031		-0.876908		-1.57633		-2.31712
24.7		-1.0941		-1.10882		-1.44418		-2.3198
