r	u(DF)	u(exacta)	error
5	110	110	0
5.02	109.125	109.124	0.001746
5.04	108.257	108.254	0.00347815
5.06	107.397	107.391	0.0051966
5.08	106.542	106.535	0.00690153
5.1	105.695	105.686	0.00859308
5.12	104.854	104.844	0.0102714
5.14	104.02	104.008	0.0119367
5.16	103.192	103.178	0.0135891
5.18	102.37	102.355	0.0152287
5.2	101.555	101.538	0.0168557
5.22	100.746	100.728	0.0184702
5.24	99.9437	99.9237	0.0200724
5.26	99.1471	99.1255	0.0216624
5.28	98.3566	98.3333	0.0232404
5.3	97.572	97.5472	0.0248064
5.32	96.7933	96.7669	0.0263607
5.34	96.0204	95.9925	0.0279034
5.36	95.2533	95.2239	0.0294345
5.38	94.4919	94.461	0.0309542
5.4	93.7362	93.7037	0.0324627
5.42	92.986	92.952	0.0339601
5.44	92.2413	92.2059	0.0354464
5.46	91.5021	91.4652	0.0369219
5.48	90.7683	90.7299	0.0383866
5.5	90.0398	90	0.0398406
5.52	89.3166	89.2754	0.0412841
5.54	88.5987	88.556	0.0427172
5.56	87.8859	87.8417	0.04414
5.58	87.1782	87.1326	0.0455526
5.6	86.4755	86.4286	0.046955
5.62	85.7779	85.7295	0.0483475
5.64	85.0852	85.0355	0.0497302
5.66	84.3974	84.3463	0.051103
5.68	83.7144	83.662	0.0524662
5.7	83.0363	82.9825	0.0538198
5.72	82.3629	82.3077	0.055164
5.74	81.6941	81.6376	0.0564987
5.76	81.03	80.9722	0.0578243
5.78	80.3706	80.3114	0.0591406
5.8	79.7156	79.6552	0.0604479
5.82	79.0652	79.0034	0.0617461
5.84	78.4192	78.3562	0.0630355
5.86	77.7776	77.7133	0.0643161
5.88	77.1404	77.0748	0.065588
5.9	76.5075	76.4407	0.0668512
5.92	75.8789	75.8108	0.068106
5.94	75.2545	75.1852	0.0693522
5.96	74.6343	74.5638	0.0705901
5.98	74.0183	73.9465	0.0718197
6	73.4064	73.3333	0.0730412
6.02	72.7985	72.7243	0.0742545
6.04	72.1947	72.1192	0.0754598
6.06	71.5948	71.5182	0.0766571
6.08	70.9989	70.9211	0.0778465
6.1	70.4069	70.3279	0.0790281
6.12	69.8188	69.7386	0.0802021
6.14	69.2345	69.1531	0.0813683
6.16	68.654	68.5714	0.082527
6.18	68.0772	67.9935	0.0836782
6.2	67.5042	67.4194	0.084822
6.22	66.9348	66.8489	0.0859584
