                ---  INTEGRACIÓN NUMÉRICA  ---
Se muestran todas las integrales variando el valor de Theta de 0 a 100º de 5 en 5º:
Theta    Trapecio(4)    Trapecio(20)    Simpson(4)    Simpson(20)    Cuadratura(2)    Cuadratura(5)
0		 0.75			0.95			0.8333			0.9667			1			1			
5		 0.7503			0.9504			0.8337			0.9671			1			1			
10		 0.7511			0.9517			0.8349			0.9685			1.002			1.002			
15		 0.7525			0.9539			0.8369			0.9708			1.004			1.004			
20		 0.7544			0.9569			0.8397			0.9741			1.008			1.008			
25		 0.7569			0.9608			0.8433			0.9783			1.012			1.012			
30		 0.7599			0.9657			0.8478			0.9835			1.017			1.017			
35		 0.7636			0.9714			0.8531			0.9897			1.024			1.024			
40		 0.7678			0.9782			0.8593			0.9969			1.032			1.031			
45		 0.7727			0.9859			0.8664			1.005			1.04			1.04			
50		 0.7782			0.9947			0.8745			1.015			1.05			1.05			
55		 0.7844			1.005			0.8835			1.025			1.062			1.061			
60		 0.7913			1.016			0.8936			1.037			1.074			1.073			
65		 0.7989			1.028			0.9048			1.05			1.088			1.087			
70		 0.8074			1.041			0.9171			1.065			1.104			1.102			
75		 0.8166			1.056			0.9306			1.081			1.122			1.119			
80		 0.8268			1.072			0.9454			1.099			1.141			1.137			
85		 0.8379			1.09			0.9616			1.119			1.162			1.158			
90		 0.8501			1.11			0.9793			1.14			1.186			1.18			
95		 0.8636			1.131			0.9987			1.164			1.212			1.205			
100		 0.8784			1.155			1.02			1.19			1.241			1.232			
