#DATOS PARA h=0.1
t		Y1		Y2		V1		V2
0		3		4		0		0
0.1		3		4		-0.2		-0.1
0.2		2.98		3.99		-0.4		-0.2
0.3		2.94		3.97		-0.59575		-0.301
0.4		2.88042		3.9399		-0.783		-0.404
0.5		2.80212		3.8995		-0.957645		-0.509948
0.6		2.70636		3.84851		-1.11587		-0.619685
0.7		2.59477		3.78654		-1.25429		-0.733899
0.8		2.46934		3.71315		-1.37008		-0.853076
0.9		2.33234		3.62784		-1.46108		-0.977456
1		2.18623		3.53009		-1.52591		-1.10701
1.1		2.03364		3.41939		-1.56401		-1.24139
1.2		1.87724		3.29525		-1.57571		-1.37997
1.3		1.71967		3.15726		-1.56221		-1.52177
1.4		1.56344		3.00508		-1.52559		-1.66553
1.5		1.41089		2.83853		-1.46874		-1.80969
1.6		1.26401		2.65756		-1.39526		-1.95246
1.7		1.12449		2.46231		-1.30939		-2.09181
1.8		0.993547		2.25313		-1.21583		-2.22559
1.9		0.871964		2.03057		-1.1196		-2.35155
2		0.760004		1.79542		-1.02584		-2.46741
2.1		0.657421		1.54867		-0.93964		-2.57095
2.2		0.563457		1.29158		-0.865848		-2.66008
2.3		0.476872		1.02557		-0.808858		-2.73289
2.4		0.395986		0.752282		-0.772445		-2.78776
2.5		0.318742		0.473506		-0.759591		-2.82339
2.6		0.242783		0.191167		-0.77235		-2.83887
2.7		0.165548		-0.0927198		-0.811731		-2.83371
2.8		0.0843744		-0.37609		-0.877621		-2.80788
2.9		-0.00338766		-0.656878		-0.968749		-2.76183
3		-0.100263		-0.933062		-1.08269		-2.69648
3.1		-0.208531		-1.20271		-1.21589		-2.6132
3.2		-0.330121		-1.46403		-1.36381		-2.51379
3.3		-0.466501		-1.71541		-1.52098		-2.4004
3.4		-0.618599		-1.95545		-1.68122		-2.2755
3.5		-0.786722		-2.183		-1.83785		-2.14182
3.6		-0.970506		-2.39718		-1.98386		-2.00219
3.7		-1.16889		-2.5974		-2.11221		-1.85952
3.8		-1.38011		-2.78335		-2.21609		-1.71667
3.9		-1.60172		-2.95502		-2.28914		-1.57635
4		-1.83064		-3.11266		-2.32575		-1.44102
4.1		-2.06321		-3.25676		-2.32128		-1.31282
4.2		-2.29534		-3.38804		-2.27225		-1.19346
4.3		-2.52256		-3.50739		-2.17655		-1.08419
4.4		-2.74022		-3.6158		-2.03357		-0.985711
4.5		-2.94358		-3.71438		-1.84427		-0.898153
4.6		-3.128		-3.80419		-1.61122		-0.821073
4.7		-3.28913		-3.8863		-1.33855		-0.753454
4.8		-3.42298		-3.96164		-1.03191		-0.693737
4.9		-3.52617		-4.03102		-0.698308		-0.63987
5		-3.596		-4.095		-0.345884		-0.589386
5.1		-3.63059		-4.15394		0.0162908		-0.539486
5.2		-3.62896		-4.20789		0.378528		-0.48715
5.3		-3.59111		-4.25661		0.730836		-0.429257
5.4		-3.51803		-4.29953		1.06326		-0.362708
5.5		-3.4117		-4.3358		1.36625		-0.284557
5.6		-3.27507		-4.36426		1.631		-0.192147
5.7		-3.11197		-4.38347		1.84977		-0.0832283
5.8		-2.927		-4.3918		2.01626		0.0439216
5.9		-2.72537		-4.3874		2.12579		0.190402
6		-2.51279		-4.36836		2.17561		0.356605
6.1		-2.29523		-4.3327		2.16498		0.542162
6.2		-2.07873		-4.27849		2.09533		0.745909
6.3		-1.8692		-4.2039		1.97021		0.965885
6.4		-1.67218		-4.10731		1.79529		1.19935
6.5		-1.49265		-3.98737		1.57817		1.44287
6.6		-1.33483		-3.84309		1.32817		1.69234
6.7		-1.20202		-3.67385		1.05608		1.94316
6.8		-1.09641		-3.47954		0.773762		2.19035
6.9		-1.01903		-3.2605		0.493766		2.42866
7		-0.969655		-3.01763		0.228888		2.65281
7.1		-0.946766		-2.75235		-0.00830189		2.85761
7.2		-0.947597		-2.46659		-0.205934		3.03816
7.3		-0.96819		-2.16278		-0.353309		3.19006
7.4		-1.00352		-1.84377		-0.441338		3.30952
7.5		-1.04765		-1.51282		-0.462941		3.39355
7.6		-1.09395		-1.17346		-0.413388		3.44006
7.7		-1.13529		-0.829457		-0.290559		3.44802
7.8		-1.16434		-0.484655		-0.0951279		3.41743
7.9		-1.17386		-0.142912		0.16936		3.34946
8		-1.15692		0.192034		0.496508		3.24637
8.1		-1.10727		0.516671		0.87719		3.11147
8.2		-1.01955		0.827818		1.29979		2.94908
8.3		-0.889572		1.12273		1.75052		2.76434
8.4		-0.71452		1.39916		2.21387		2.56311
8.5		-0.493133		1.65547		2.67308		2.35174
8.6		-0.225825		1.89065		3.11073		2.13688
8.7		0.085248		2.10433		3.50934		1.92524
8.8		0.436182		2.29686		3.85202		1.72333
8.9		0.821384		2.46919		4.12312		1.53726
9		1.2337		2.62292		4.30881		1.37248
9.1		1.66458		2.76017		4.39771		1.23356
9.2		2.10435		2.88352		4.38137		1.124
9.3		2.54248		2.99592		4.25468		1.04608
9.4		2.96795		3.10053		4.01622		1.00074
9.5		3.36957		3.2006		3.66843		0.98748
9.6		3.73642		3.29935		3.21766		1.00438
9.7		4.05818		3.39979		2.67412		1.04808
9.8		4.3256		3.5046		2.05163		1.11392
9.9		4.53076		3.61599		1.36726		1.19602
10		4.66748		3.73559		0.640827		1.2875
10.1		4.73157		3.86434		-0.10569		1.38069
10.2		4.721		4.00241		-0.8489		1.46741
10.3		4.63611		4.14915		-1.56478		1.53927
10.4		4.47963		4.30308		-2.22951		1.58797
10.5		4.25668		4.46188		-2.82036		1.60562
10.6		3.97464		4.62244		-3.31653		1.5851
10.7		3.64299		4.78095		-3.7		1.52032
10.8		3.27299		4.93298		-3.95623		1.40653
10.9		2.87737		5.07363		-4.07486		1.24053
11		2.46988		5.19769		-4.05018		1.0209
11.1		2.06486		5.29978		-3.88155		0.74812
11.2		1.67671		5.37459		-3.57355		0.424629
11.3		1.31935		5.41705		-3.13601		0.054841
11.4		1.00575		5.42253		-2.58383		-0.354929
11.5		0.747369		5.38704		-1.93661		-0.796607
11.6		0.553708		5.30738		-1.21809		-1.26057
11.7		0.431899		5.18132		-0.455411		-1.73594
11.8		0.386358		5.00773		0.321751		-2.21088
11.9		0.418533		4.78664		1.0822		-2.67302
12		0.526752		4.51934		1.7943		-3.10983
12.1		0.706182		4.20836		2.42716		-3.50909
12.2		0.948898		3.85745		2.95176		-3.85931
12.3		1.24407		3.47152		3.34215		-4.15016
12.4		1.57829		3.0565		3.57644		-4.37291
12.5		1.93593		2.61921		3.63784		-4.52073
12.6		2.29972		2.16714		3.51542		-4.58906
12.7		2.65126		1.70823		3.20476		-4.5758
12.8		2.97174		1.25065		2.70832		-4.48149
12.9		3.24257		0.802501		2.03566		-4.30939
13		3.44613		0.371563		1.20333		-4.06538
13.1		3.56647		-0.0349754		0.234513		-3.75792
13.2		3.58992		-0.410768		-0.841547		-3.39778
13.3		3.50576		-0.750546		-1.99041		-2.99771
13.4		3.30672		-1.05032		-3.17348		-2.57208
13.5		2.98937		-1.30752		-4.3493		-2.13637
13.6		2.55444		-1.52116		-5.47493		-1.70669
13.7		2.00695		-1.69183		-6.50747		-1.29912
13.8		1.3562		-1.82174		-7.40563		-0.929246
13.9		0.615641		-1.91467		-8.13129		-0.611452
14		-0.197488		-1.97581		-8.65105		-0.358421
14.1		-1.06259		-2.01165		-8.93757		-0.180588
14.2		-1.95635		-2.02971		-8.97083		-0.085682
14.3		-2.85343		-2.03828		-8.73913		-0.0783456
14.4		-3.72735		-2.04612		-8.2398		-0.159861
14.5		-4.55133		-2.0621		-7.47966		-0.327984
14.6		-5.29929		-2.0949		-6.47513		-0.576906
14.7		-5.94681		-2.15259		-5.25195		-0.897345
14.8		-6.472		-2.24233		-3.84462		-1.27677
14.9		-6.85646		-2.37		-2.29542		-1.69973
15		-7.086		-2.53998		-0.653234		-2.14838
15.1		-7.15133		-2.75481		1.02807		-2.60298
15.2		-7.04852		-3.01511		2.69138		-3.04263
15.3		-6.77938		-3.31938		4.27829		-3.44598
15.4		-6.35155		-3.66397		5.73121		-3.79198
15.5		-5.77843		-4.04317		6.99548		-4.06073
15.6		-5.07888		-4.44924		8.02146		-4.23426
15.7		-4.27674		-4.87267		8.76651		-4.29722
15.8		-3.40009		-5.30239		9.19681		-4.23763
15.9		-2.48041		-5.72616		9.28892		-4.0474
16		-1.55152		-6.1309		9.03096		-3.72283
16.1		-0.648419		-6.50318		8.42351		-3.26489
16.2		0.193933		-6.82967		7.47998		-2.67941
16.3		0.941931		-7.09761		6.22661		-1.97705
16.4		1.56459		-7.29531		4.70195		-1.1731
16.5		2.03479		-7.41262		2.95589		-0.287107
16.6		2.33038		-7.44133		1.04825		0.657634
16.7		2.4352		-7.37557		-0.9531		1.6348
16.8		2.33989		-7.21209		-2.97439		2.61588
16.9		2.04245		-6.9505		-4.93847		3.57108
17		1.5486		-6.59339		-6.76754		4.47038
17.1		0.871851		-6.14636		-8.38597		5.28458
17.2		0.033254		-5.6179		-9.72313		5.9864
17.3		-0.939059		-5.01926		-10.7162		6.55151
17.4		-2.01068		-4.36411		-11.3129		6.95953
17.5		-3.14197		-3.66816		-11.4734		7.19487
17.6		-4.28931		-2.94867		-11.1727		7.24749
17.7		-5.40659		-2.22392		-10.402		7.11343
17.8		-6.44679		-1.51258		-9.16918		6.79516
17.9		-7.3637		-0.83306		-7.49984		6.30174
18		-8.11369		-0.202886		-5.43652		5.64868
18.1		-8.65734		0.361981		-3.03792		4.8576
18.2		-8.96113		0.847741		-0.377367		3.95566
18.3		-8.99887		1.24331		2.45933		2.97478
18.4		-8.75293		1.54078		5.37657		1.95056
