#DATOS PARA h=0.1
t		Y1		Y2		V1		V2
0		3		4		0		0
0.1		2.99		3.995		-0.2		-0.1
0.2		2.96011		3.97998		-0.39575		-0.201
0.3		2.91095		3.95478		-0.583109		-0.303961
0.4		2.84358		3.91916		-0.758222		-0.409738
0.5		2.7594		3.87281		-0.917656		-0.519039
0.6		2.66013		3.81534		-1.05851		-0.632373
0.7		2.54776		3.74632		-1.17852		-0.750024
0.8		2.42447		3.66533		-1.27613		-0.872023
0.9		2.29257		3.57192		-1.35053		-0.998129
1		2.15438		3.46571		-1.40169		-1.12783
1.1		2.01222		3.34637		-1.43034		-1.26033
1.2		1.86828		3.21367		-1.43797		-1.39459
1.3		1.72458		3.06748		-1.42669		-1.52935
1.4		1.58288		2.90783		-1.39924		-1.66313
1.5		1.44466		2.7349		-1.3588		-1.7943
1.6		1.31104		2.54902		-1.3089		-1.92115
1.7		1.18279		2.35071		-1.25332		-2.04189
1.8		1.06028		2.14068		-1.19585		-2.15473
1.9		0.943527		1.91981		-1.14023		-2.25798
2		0.832149		1.68913		-1.08997		-2.35002
2.1		0.72545		1.44984		-1.04823		-2.42942
2.2		0.622431		1.20328		-1.01768		-2.49495
2.3		0.521855		0.950878		-1.0004		-2.54565
2.4		0.422307		0.694168		-0.997823		-2.58082
2.5		0.322264		0.434726		-1.01065		-2.6001
2.6		0.220169		0.174154		-1.03884		-2.60339
2.7		0.114506		-0.0859551		-1.08161		-2.59097
2.8		0.00387477		-0.34405		-1.13746		-2.56338
2.9		-0.112939		-0.598648		-1.20419		-2.52145
3		-0.236903		-0.848365		-1.27908		-2.4663
3.1		-0.36868		-1.09194		-1.35886		-2.39922
3.2		-0.508591		-1.32824		-1.43996		-2.32169
3.3		-0.65658		-1.55631		-1.51854		-2.23531
3.4		-0.812202		-1.77535		-1.5907		-2.14176
3.5		-0.974624		-1.98471		-1.6526		-2.04269
3.6		-1.14263		-2.18392		-1.70063		-1.93973
3.7		-1.31466		-2.37269		-1.73149		-1.8344
3.8		-1.48885		-2.55084		-1.74239		-1.72809
3.9		-1.66308		-2.71834		-1.73111		-1.62196
4		-1.83503		-2.87526		-1.69612		-1.51698
4.1		-2.00228		-3.02176		-1.63662		-1.41385
4.2		-2.16234		-3.15804		-1.55256		-1.31302
4.3		-2.3128		-3.28437		-1.44472		-1.21465
4.4		-2.45132		-3.40097		-1.3146		-1.11864
4.5		-2.57576		-3.50809		-1.16445		-1.02465
4.6		-2.68427		-3.60589		-0.997132		-0.932119
4.7		-2.77527		-3.6945		-0.816082		-0.840282
4.8		-2.84758		-3.77393		-0.625149		-0.748238
4.9		-2.9004		-3.84412		-0.428484		-0.654987
5		-2.93338		-3.9049		-0.23039		-0.559482
5.1		-2.94658		-3.95599		-0.0351738		-0.460685
5.2		-2.94052		-3.99701		0.152999		-0.357616
5.3		-2.91608		-4.02749		0.330253		-0.249413
5.4		-2.87456		-4.04688		0.49313		-0.135374
5.5		-2.81754		-4.05455		0.638712		-0.0149997
5.6		-2.74688		-4.04987		0.764715		0.111971
5.7		-2.66464		-4.03215		0.86956		0.245533
5.8		-2.573		-4.00076		0.95243		0.385405
5.9		-2.47416		-3.95508		1.01328		0.531017
6		-2.37033		-3.89458		1.05284		0.68152
6.1		-2.26357		-3.81881		1.07256		0.835801
6.2		-2.15578		-3.72745		1.07456		0.992509
6.3		-2.0486		-3.62034		1.06156		1.15009
6.4		-1.94339		-3.49747		1.03672		1.30682
6.5		-1.84117		-3.35902		1.00356		1.46088
6.6		-1.74259		-3.20534		0.965812		1.61037
6.7		-1.64792		-3.03699		0.927257		1.75343
6.8		-1.55704		-2.8547		0.891592		1.8882
6.9		-1.46951		-2.6594		0.86228		2.01299
