#DATOS PARA h=0.05
r		u		uReal		u'
5    110    110    -44
5.05    107.82    107.82    -43.133
5.1    105.69    105.69    -42.291
5.15    103.59    103.59    -41.474
5.2    101.54    101.54    -40.68
5.25    99.524    99.524    -39.909
5.3    97.547    97.547    -39.16
5.35    95.607    95.607    -38.431
5.4    93.704    93.704    -37.723
5.45    91.835    91.835    -37.034
5.5    90    90    -36.364
5.55    88.198    88.198    -35.711
5.6    86.429    86.429    -35.077
5.65    84.69    84.69    -34.458
5.7    82.982    82.982    -33.857
5.75    81.304    81.304    -33.27
5.8    79.655    79.655    -32.699
5.85    78.034    78.034    -32.143
5.9    76.441    76.441    -31.6
5.95    74.874    74.874    -31.071
6    73.333    73.333    -30.556
6.05    71.818    71.818    -30.053
6.1    70.328    70.328    -29.562
6.15    68.862    68.862    -29.083
6.2    67.419    67.419    -28.616
6.25    66    66    -28.16
6.3    64.603    64.603    -27.715
6.35    63.228    63.228    -27.28
6.4    61.875    61.875    -26.855
6.45    60.543    60.543    -26.441
6.5    59.231    59.231    -26.036
6.55    57.939    57.939    -25.64
6.6    56.667    56.667    -25.253
6.65    55.414    55.414    -24.874
6.7    54.179    54.179    -24.504
6.75    52.963    52.963    -24.143
6.8    51.765    51.765    -23.789
6.85    50.584    50.584    -23.443
6.9    49.42    49.42    -23.104
6.95    48.273    48.273    -22.773
7    47.143    47.143    -22.449
7.05    46.028    46.028    -22.132
7.1    44.93    44.93    -21.821
7.15    43.846    43.846    -21.517
7.2    42.778    42.778    -21.219
7.25    41.724    41.724    -20.927
7.3    40.685    40.685    -20.642
7.35    39.66    39.66    -20.362
7.4    38.649    38.649    -20.088
7.45    37.651    37.651    -19.819
7.5    36.667    36.667    -19.556
7.55    35.695    35.695    -19.297
7.6    34.737    34.737    -19.044
7.65    33.791    33.791    -18.796
7.7    32.857    32.857    -18.553
7.75    31.935    31.935    -18.314
7.8    31.026    31.026    -18.08
7.85    30.127    30.127    -17.851
7.9    29.241    29.241    -17.625
7.95    28.365    28.365    -17.404
8    27.5    27.5    -17.188
8.05    26.646    26.646    -16.975
8.1    25.802    25.802    -16.766
8.15    24.969    24.969    -16.561
8.2    24.146    24.146    -16.359
8.25    23.333    23.333    -16.162
8.3    22.53    22.53    -15.967
8.35    21.737    21.737    -15.777
8.4    20.952    20.952    -15.59
8.45    20.178    20.178    -15.406
8.5    19.412    19.412    -15.225
8.55    18.655    18.655    -15.047
8.6    17.907    17.907    -14.873
8.65    17.168    17.168    -14.701
8.7    16.437    16.437    -14.533
8.75    15.714    15.714    -14.367
8.8    15    15    -14.205
8.85    14.294    14.294    -14.044
8.9    13.596    13.596    -13.887
8.95    12.905    12.905    -13.732
9    12.222    12.222    -13.58
9.05    11.547    11.547    -13.431
9.1    10.879    10.879    -13.283
9.15    10.219    10.219    -13.139
9.2    9.5652    9.5652    -12.996
9.25    8.9189    8.9189    -12.856
9.3    8.2796    8.2796    -12.718
9.35    7.6471    7.6471    -12.583
9.4    7.0213    7.0213    -12.449
9.45    6.4021    6.4021    -12.318
9.5    5.7895    5.7895    -12.188
9.55    5.1832    5.1832    -12.061
9.6    4.5833    4.5833    -11.936
9.65    3.9896    3.9896    -11.812
9.7    3.4021    3.4021    -11.691
9.75    2.8205    2.8205    -11.571
9.8    2.2449    2.2449    -11.454
9.85    1.6751    1.6751    -11.338
9.9    1.1111    1.1111    -11.223
9.95    0.55276    0.55276    -11.111
10    -5.9697e-13    -1.954e-13    -11
