r	u(DF)	u(exacta)	error
5	110	110	0
5.05	107.833	107.822	0.0107833
5.1	105.708	105.686	0.0213551
5.15	103.624	103.592	0.0317216
5.2	101.58	101.538	0.0418888
5.25	99.5757	99.5238	0.0518623
5.3	97.6088	97.5472	0.0616477
5.35	95.6787	95.6075	0.0712501
5.4	93.7844	93.7037	0.0806747
5.45	91.9248	91.8349	0.0899264
5.5	90.099	90	0.0990099
5.55	88.3061	88.1982	0.10793
5.6	86.5453	86.4286	0.11669
5.65	84.8156	84.6903	0.125296
5.7	83.1162	82.9825	0.13375
5.75	81.4464	81.3043	0.142058
5.8	79.8054	79.6552	0.150222
5.85	78.1924	78.0342	0.158247
5.9	76.6068	76.4407	0.166135
5.95	75.0478	74.8739	0.173891
6	73.5149	73.3333	0.181518
6.05	72.0072	71.8182	0.189019
6.1	70.5243	70.3279	0.196397
6.15	69.0654	68.8618	0.203655
6.2	67.6302	67.4194	0.210795
6.25	66.2178	66	0.217822
6.3	64.8279	64.6032	0.224737
6.35	63.4599	63.2283	0.231543
6.4	62.1132	61.875	0.238243
6.45	60.7875	60.5426	0.244838
6.5	59.4821	59.2308	0.251333
6.55	58.1967	57.9389	0.257728
6.6	56.9307	56.6667	0.264026
6.65	55.6838	55.4135	0.27023
6.7	54.4554	54.1791	0.276341
6.75	53.2453	52.963	0.282362
6.8	52.053	51.7647	0.288294
6.85	50.8781	50.5839	0.294139
6.9	49.7202	49.4203	0.2999
6.95	48.579	48.2734	0.305577
7	47.454	47.1429	0.311174
7.05	46.3451	46.0284	0.316691
7.1	45.2517	44.9296	0.322131
7.15	44.1736	43.8462	0.327494
7.2	43.1106	42.7778	0.332783
7.25	42.0621	41.7241	0.337999
7.3	41.0281	40.6849	0.343144
7.35	40.0081	39.6599	0.348218
7.4	39.0019	38.6486	0.353225
7.45	38.0092	37.651	0.358163
7.5	37.0297	36.6667	0.363036
7.55	36.0632	35.6954	0.367845
7.6	35.1094	34.7368	0.37259
7.65	34.1681	33.7908	0.377273
7.7	33.239	32.8571	0.381895
7.75	32.3219	31.9355	0.386458
7.8	31.4166	31.0256	0.390962
7.85	30.5228	30.1274	0.395409
7.9	29.6403	29.2405	0.399799
7.95	28.7689	28.3648	0.404135
8	27.9084	27.5	0.408416
8.05	27.0586	26.646	0.412644
8.1	26.2193	25.8025	0.416819
8.15	25.3903	24.9693	0.420944
8.2	24.5714	24.1463	0.425018
8.25	23.7624	23.3333	0.429043
8.3	22.9631	22.5301	0.433019
8.35	22.1735	21.7365	0.436948
8.4	21.3932	20.9524	0.44083
8.45	20.6222	20.1775	0.444666
8.5	19.8602	19.4118	0.448457
8.55	19.1072	18.655	0.452203
8.6	18.3629	17.907	0.455906
8.65	17.6272	17.1676	0.459566
8.7	16.9	16.4368	0.463184
8.75	16.181	15.7143	0.466761
8.8	15.4703	15	0.470297
8.85	14.7676	14.2938	0.473793
8.9	14.0728	13.5955	0.47725
8.95	13.3857	12.905	0.480668
9	12.7063	12.2222	0.484048
9.05	12.0344	11.547	0.487391
9.1	11.3698	10.8791	0.490697
9.15	10.7125	10.2186	0.493967
9.2	10.0624	9.56522	0.497202
9.25	9.41932	8.91892	0.500401
9.3	8.78314	8.27957	0.503566
9.35	8.15376	7.64706	0.506698
9.4	7.53107	7.02128	0.509796
9.45	6.91498	6.40212	0.512861
9.5	6.30537	5.78947	0.515894
9.55	5.70214	5.18325	0.518895
9.6	5.1052	4.58333	0.521865
9.65	4.51444	3.98964	0.524804
9.7	3.92977	3.40206	0.527713
9.75	3.3511	2.82051	0.530592
9.8	2.77834	2.2449	0.533441
9.85	2.21139	1.67513	0.536262
9.9	1.65017	1.11111	0.539054
9.95	1.09458	0.552764	0.541818
10	0	0	0
