Datos Ecuación Calor para el Aluminio: k = 0.86
Estamos usando incremento x = 1
Se muestran los resultados para distintos valores de r a tiempo = 300s.
-------------------------------------------------------------

r = 0.086
x	u(x,t)
0	0
1	0.0327414
2	0.06572
3	0.099173
4	0.133337
5	0.168446
6	0.204734
7	0.242433
8	0.281773
9	0.322978
10	0.366273
11	0.411875
12	0.459999
13	0.510853
14	0.564639
15	0.621552
16	0.68178
17	0.7455
18	0.812882
19	0.884084
20	0.959251
21	1.03852
22	1.122
23	1.20981
24	1.30204
25	1.39875
26	1.50001
27	1.60584
28	1.71627
29	1.8313
30	1.9509
31	2.07503
32	2.20363
33	2.33661
34	2.47387
35	2.61527
36	2.76067
37	2.90989
38	3.06275
39	3.21903
40	3.37851
41	3.54094
42	3.70605
43	3.87357
44	4.04321
45	4.21466
46	4.38761
47	4.56173
48	4.73669
49	4.91216
50	5.0878
51	5.26326
52	5.43822
53	5.61234
54	5.78528
55	5.95672
56	6.12635
57	6.29385
58	6.45895
59	6.62136
60	6.78082
61	6.93707
62	7.0899
63	7.23908
64	7.38443
65	7.52578
66	7.66297
67	7.79588
68	7.9244
69	8.04843
70	8.16793
71	8.28283
72	8.39311
73	8.49878
74	8.59984
75	8.69633
76	8.7883
77	8.87583
78	8.95899
79	9.03789
80	9.11264
81	9.18338
82	9.25023
83	9.31336
84	9.37293
85	9.4291
86	9.48206
87	9.532
88	9.5791
89	9.62358
90	9.66562
91	9.70545
92	9.74327
93	9.7793
94	9.81376
95	9.84687
96	9.87885
97	9.90993
98	9.94033
99	9.97028
100	10
-------------------------------------------------------------

r = 0.172
x	u(x,t)
0	0
1	0.0327658
2	0.065769
3	0.0992465
4	0.133435
5	0.168569
6	0.204882
7	0.242607
8	0.281972
9	0.323204
10	0.366524
11	0.412153
12	0.460303
13	0.511184
14	0.564996
15	0.621935
16	0.682188
17	0.745934
18	0.81334
19	0.884566
20	0.959755
21	1.03904
22	1.12255
23	1.21038
24	1.30262
25	1.39935
26	1.50061
27	1.60645
28	1.71689
29	1.83192
30	1.95153
31	2.07566
32	2.20425
33	2.33722
34	2.47446
35	2.61584
36	2.76122
37	2.91042
38	3.06325
39	3.2195
40	3.37895
41	3.54134
42	3.70641
43	3.87389
44	4.04348
45	4.21489
46	4.38779
47	4.56185
48	4.73677
49	4.91218
50	5.08777
51	5.26319
52	5.4381
53	5.61216
54	5.78505
55	5.95645
56	6.12603
57	6.29349
58	6.45855
59	6.62092
60	6.78034
61	6.93657
62	7.08937
63	7.23853
64	7.38386
65	7.52519
66	7.66237
67	7.79527
68	7.92378
69	8.04781
70	8.1673
71	8.28221
72	8.3925
73	8.49817
74	8.59924
75	8.69575
76	8.78774
77	8.87528
78	8.95847
79	9.03739
80	9.11216
81	9.18292
82	9.2498
83	9.31295
84	9.37254
85	9.42874
86	9.48173
87	9.53169
88	9.57882
89	9.62332
90	9.66539
91	9.70524
92	9.74308
93	9.77914
94	9.81362
95	9.84676
96	9.87876
97	9.90986
98	9.94029
99	9.97026
100	10
-------------------------------------------------------------

r = 0.258
x	u(x,t)
0	0
1	0.032729
2	0.0656955
3	0.0991367
4	0.133289
5	0.168388
6	0.204667
7	0.242358
8	0.28169
9	0.32289
10	0.36618
11	0.41178
12	0.459903
13	0.510757
14	0.564545
15	0.621462
16	0.681695
17	0.745423
18	0.812813
19	0.884024
20	0.959202
21	1.03848
22	1.12198
23	1.2098
24	1.30204
25	1.39877
26	1.50004
27	1.60588
28	1.71633
29	1.83137
30	1.95098
31	2.07513
32	2.20373
33	2.33672
34	2.47398
35	2.61539
36	2.76079
37	2.91001
38	3.06287
39	3.21915
40	3.37862
41	3.54104
42	3.70615
43	3.87366
44	4.04329
45	4.21473
46	4.38766
47	4.56177
48	4.73671
49	4.91217
50	5.08779
51	5.26324
52	5.43819
53	5.61229
54	5.78521
55	5.95664
56	6.12626
57	6.29376
58	6.45885
59	6.62125
60	6.7807
61	6.93695
62	7.08978
63	7.23896
64	7.38432
65	7.52567
66	7.66287
67	7.79579
68	7.92431
69	8.04836
70	8.16786
71	8.28278
72	8.39307
73	8.49875
74	8.59983
75	8.69634
76	8.78832
77	8.87586
78	8.95904
79	9.03795
80	9.11272
81	9.18346
82	9.25033
83	9.31346
84	9.37304
85	9.42921
86	9.48218
87	9.53211
88	9.57922
89	9.62369
90	9.66573
91	9.70555
92	9.74336
93	9.77939
94	9.81384
95	9.84694
96	9.87891
97	9.90997
98	9.94036
99	9.97029
100	10
-------------------------------------------------------------

r = 0.344
x	u(x,t)
0	0
1	0.032733
2	0.0657036
3	0.0991491
4	0.133306
5	0.16841
6	0.204694
7	0.24239
8	0.281729
9	0.322935
10	0.366233
11	0.411841
12	0.459972
13	0.510835
14	0.564633
15	0.62156
16	0.681804
17	0.745542
18	0.812943
19	0.884165
20	0.959354
21	1.03864
22	1.12215
23	1.20999
24	1.30224
25	1.39897
26	1.50025
27	1.6061
28	1.71655
29	1.8316
30	1.95122
31	2.07536
32	2.20397
33	2.33696
34	2.47422
35	2.61562
36	2.76101
37	2.91023
38	3.06308
39	3.21935
40	3.37881
41	3.54121
42	3.7063
43	3.8738
44	4.04341
45	4.21482
46	4.38774
47	4.56182
48	4.73675
49	4.91218
50	5.08778
51	5.26321
52	5.43813
53	5.61221
54	5.78512
55	5.95653
56	6.12612
57	6.2936
58	6.45868
59	6.62107
60	6.7805
61	6.93675
62	7.08956
63	7.23874
64	7.38409
65	7.52544
66	7.66263
67	7.79555
68	7.92408
69	8.04813
70	8.16763
71	8.28255
72	8.39286
73	8.49855
74	8.59963
75	8.69615
76	8.78814
77	8.87569
78	8.95888
79	9.0378
80	9.11258
81	9.18334
82	9.25021
83	9.31336
84	9.37294
85	9.42913
86	9.4821
87	9.53205
88	9.57916
89	9.62364
90	9.66569
91	9.70551
92	9.74333
93	9.77936
94	9.81382
95	9.84692
96	9.87889
97	9.90996
98	9.94035
99	9.97029
100	10
-------------------------------------------------------------

r = 0.43
x	u(x,t)
0	0
1	0.0328393
2	0.0659161
3	0.0994676
4	0.13373
5	0.168939
6	0.205328
7	0.243129
8	0.282571
9	0.323881
10	0.36728
11	0.412987
12	0.461217
13	0.512176
14	0.566067
15	0.623084
16	0.683415
17	0.747236
18	0.814716
19	0.886012
20	0.96127
21	1.04062
22	1.12419
23	1.21207
24	1.30436
25	1.40113
26	1.50243
27	1.6083
28	1.71876
29	1.8338
30	1.9534
31	2.07752
32	2.20609
33	2.33903
34	2.47623
35	2.61757
36	2.76288
37	2.91201
38	3.06475
39	3.22091
40	3.38026
41	3.54254
42	3.70749
43	3.87484
44	4.0443
45	4.21556
46	4.38832
47	4.56224
48	4.737
49	4.91226
50	5.08769
51	5.26296
52	5.43771
53	5.61163
54	5.78438
55	5.95563
56	6.12508
57	6.29242
58	6.45736
59	6.61962
60	6.77894
61	6.93507
62	7.08778
63	7.23687
64	7.38214
65	7.52342
66	7.66056
67	7.79343
68	7.92192
69	8.04594
70	8.16543
71	8.28035
72	8.39066
73	8.49636
74	8.59747
75	8.69401
76	8.78605
77	8.87365
78	8.95689
79	9.03587
80	9.11072
81	9.18154
82	9.2485
83	9.31172
84	9.37139
85	9.42767
86	9.48073
87	9.53077
88	9.57797
89	9.62255
90	9.66469
91	9.70462
92	9.74253
93	9.77866
94	9.81322
95	9.84642
96	9.87849
97	9.90966
98	9.94015
99	9.97019
100	10
-------------------------------------------------------------

r = 0.516
x	u(x,t)
0	0
1	4.66938e+10
2	-9.35829e+10
3	1.40861e+11
4	-1.88717e+11
5	2.37334e+11
6	-2.86889e+11
7	3.37548e+11
8	-3.89464e+11
9	4.42778e+11
10	-4.97617e+11
11	5.5409e+11
12	-6.12287e+11
13	6.72279e+11
14	-7.34116e+11
15	7.97825e+11
16	-8.6341e+11
17	9.30852e+11
18	-1.0001e+12
19	1.0711e+12
20	-1.14373e+12
21	1.21789e+12
22	-1.29341e+12
23	1.37014e+12
24	-1.44786e+12
25	1.52636e+12
26	-1.6054e+12
27	1.68469e+12
28	-1.76397e+12
29	1.84293e+12
30	-1.92124e+12
31	1.99858e+12
32	-2.07461e+12
33	2.14896e+12
34	-2.2213e+12
35	2.29127e+12
36	-2.3585e+12
37	2.42265e+12
38	-2.48339e+12
39	2.54037e+12
40	-2.59328e+12
41	2.64183e+12
42	-2.68573e+12
43	2.72474e+12
44	-2.75861e+12
45	2.78716e+12
46	-2.81021e+12
47	2.82762e+12
48	-2.83929e+12
49	2.84515e+12
50	-2.84516e+12
51	2.83932e+12
52	-2.82766e+12
53	2.81027e+12
54	-2.78724e+12
55	2.75871e+12
56	-2.72486e+12
57	2.68588e+12
58	-2.64201e+12
59	2.5935e+12
60	-2.54063e+12
61	2.4837e+12
62	-2.42303e+12
63	2.35895e+12
64	-2.2918e+12
65	2.22193e+12
66	-2.1497e+12
67	2.07547e+12
68	-1.9996e+12
69	1.92243e+12
70	-1.84431e+12
71	1.76558e+12
72	-1.68656e+12
73	1.60756e+12
74	-1.52886e+12
75	1.45074e+12
76	-1.37344e+12
77	1.2972e+12
78	-1.22223e+12
79	1.14869e+12
80	-1.07674e+12
81	1.00652e+12
82	-9.38124e+11
83	8.71637e+11
84	-8.07109e+11
85	7.4457e+11
86	-6.84023e+11
87	6.2545e+11
