Datos Ecuación Calor para el Hierro fundido: k = 0.12
Estamos usando incremento x = 1
Se muestran los resultados para distintos valores de r a tiempo = 300s.
-------------------------------------------------------------

r = 0.012
x	u(x,t)
0	0
1	6.42777e-08
2	1.55453e-07
3	3.10278e-07
4	5.88268e-07
5	1.09149e-06
6	1.99666e-06
7	3.60791e-06
8	6.44278e-06
9	1.13709e-05
10	1.9834e-05
11	3.41906e-05
12	5.82458e-05
13	9.80537e-05
14	0.000163112
15	0.000268112
16	0.000435446
17	0.000698759
18	0.00110785
19	0.00173533
20	0.00268547
21	0.00410568
22	0.0062011
23	0.00925262
24	0.0136385
25	0.0198599
26	0.0285688
27	0.0405989
28	0.0569965
29	0.0790501
30	0.108315
31	0.146628
32	0.196113
33	0.259167
34	0.338423
35	0.436693
36	0.556882
37	0.701874
38	0.874398
39	1.07687
40	1.31123
41	1.57876
42	1.87995
43	2.21437
44	2.58055
45	2.97595
46	3.397
47	3.83915
48	4.29701
49	4.76458
50	5.23542
51	5.70299
52	6.16085
53	6.603
54	7.02405
55	7.41945
56	7.78563
57	8.12005
58	8.42124
59	8.68877
60	8.92313
61	9.1256
62	9.29813
63	9.44312
64	9.56331
65	9.66158
66	9.74083
67	9.80389
68	9.85337
69	9.89169
70	9.92095
71	9.943
72	9.9594
73	9.97143
74	9.98014
75	9.98636
76	9.99075
77	9.9938
78	9.99589
79	9.99731
80	9.99826
81	9.99889
82	9.9993
83	9.99956
84	9.99973
85	9.99984
86	9.9999
87	9.99994
88	9.99997
89	9.99998
90	9.99999
91	9.99999
92	10
93	10
94	10
95	10
96	10
97	10
98	10
99	10
100	10
-------------------------------------------------------------

r = 0.072
x	u(x,t)
0	0
1	5.56662e-08
2	1.35592e-07
3	2.73259e-07
4	5.23555e-07
5	9.81625e-07
6	1.81376e-06
7	3.30847e-06
8	5.96043e-06
9	1.06064e-05
10	1.86424e-05
11	3.23645e-05
12	5.54961e-05
13	9.39881e-05
14	0.000157214
15	0.000259724
16	0.000423766
17	0.000682857
18	0.00108672
19	0.001708
20	0.00265118
21	0.00406416
22	0.00615293
23	0.00919977
24	0.013585
25	0.0198125
26	0.0285378
27	0.040599
28	0.0570475
29	0.0791773
30	0.108549
31	0.147004
32	0.196671
33	0.259948
34	0.339465
35	0.438031
36	0.558541
37	0.703865
38	0.876714
39	1.07948
40	1.31408
41	1.58178
42	1.88305
43	2.21743
44	2.58343
45	2.97854
46	3.39916
47	3.84078
48	4.29803
49	4.76492
50	5.23508
51	5.70197
52	6.15922
53	6.60084
54	7.02146
55	7.41657
56	7.78257
57	8.11695
58	8.41822
59	8.68592
60	8.92052
61	9.12329
62	9.29614
63	9.44146
64	9.56197
65	9.66053
66	9.74005
67	9.80333
68	9.853
69	9.89145
70	9.92082
71	9.94295
72	9.9594
73	9.97146
74	9.98019
75	9.98641
76	9.9908
77	9.99385
78	9.99594
79	9.99735
80	9.99829
81	9.99891
82	9.99932
83	9.99958
84	9.99974
85	9.99984
86	9.99991
87	9.99994
88	9.99997
89	9.99998
90	9.99999
91	9.99999
92	10
93	10
94	10
95	10
96	10
97	10
98	10
99	10
100	10
-------------------------------------------------------------

r = 0.132
x	u(x,t)
0	0
1	4.57865e-08
2	1.12522e-07
3	2.29489e-07
4	4.45421e-07
5	8.45933e-07
6	1.58241e-06
7	2.92023e-06
8	5.31873e-06
9	9.56168e-06
10	1.69671e-05
11	2.97188e-05
12	5.13817e-05
13	8.76887e-05
14	0.00014772
15	0.000245641
16	0.00040321
17	0.000653338
18	0.00104503
19	0.0016501
20	0.00257211
21	0.00395805
22	0.00601305
23	0.00901866
24	0.0133548
25	0.0195254
26	0.0281867
27	0.0401781
28	0.0565534
29	0.0786097
30	0.107911
31	0.146305
32	0.195924
33	0.259171
34	0.338681
35	0.437265
36	0.557819
37	0.703214
38	0.876157
39	1.07904
40	1.31376
41	1.58158
42	1.88296
43	2.21744
44	2.58352
45	2.97866
46	3.3993
47	3.8409
48	4.29811
49	4.76495
50	5.23505
51	5.70189
52	6.1591
53	6.6007
54	7.02134
55	7.41648
56	7.78256
57	8.11704
58	8.41842
59	8.68624
60	8.92096
61	9.12384
62	9.29679
63	9.44218
64	9.56274
65	9.66132
66	9.74083
67	9.80408
68	9.85369
69	9.89209
70	9.92139
71	9.94345
72	9.95982
73	9.97181
74	9.98047
75	9.98665
76	9.99098
77	9.99399
78	9.99604
79	9.99743
80	9.99835
81	9.99895
82	9.99935
83	9.9996
84	9.99975
85	9.99985
86	9.99991
87	9.99995
88	9.99997
89	9.99998
90	9.99999
91	9.99999
92	10
93	10
94	10
95	10
96	10
97	10
98	10
99	10
100	10
-------------------------------------------------------------

r = 0.192
x	u(x,t)
0	0
1	3.88557e-08
2	9.63369e-08
3	1.98797e-07
4	3.90726e-07
5	7.51265e-07
6	1.42184e-06
7	2.65276e-06
8	4.88086e-06
9	8.8573e-06
10	1.5854e-05
11	2.79917e-05
12	4.87515e-05
13	8.37596e-05
14	0.000141967
15	0.00023739
16	0.000391634
17	0.000637471
18	0.00102382
19	0.00162251
20	0.00253733
21	0.00391573
22	0.00596373
23	0.0089643
24	0.0132994
25	0.0194758
26	0.0281533
27	0.0401759
28	0.0566024
29	0.0787354
30	0.108145
31	0.146683
32	0.196485
33	0.259955
34	0.339728
35	0.438609
36	0.559485
37	0.705212
38	0.878478
39	1.08165
40	1.31662
41	1.58461
42	1.88606
43	2.22048
44	2.58639
45	2.98124
46	3.40145
47	3.84253
48	4.29912
49	4.7653
50	5.2347
51	5.70088
52	6.15747
53	6.59855
54	7.01876
55	7.41361
56	7.77952
57	8.11394
58	8.41539
59	8.68338
60	8.91835
61	9.12152
62	9.29479
63	9.44052
64	9.56139
65	9.66027
66	9.74005
67	9.80352
68	9.85332
69	9.89186
70	9.92126
71	9.9434
72	9.95982
73	9.97185
74	9.98052
75	9.9867
76	9.99104
77	9.99404
78	9.99608
79	9.99746
80	9.99838
81	9.99898
82	9.99936
83	9.99961
84	9.99976
85	9.99986
86	9.99992
87	9.99995
88	9.99997
89	9.99998
90	9.99999
91	10
92	10
93	10
94	10
95	10
96	10
97	10
98	10
99	10
100	10
-------------------------------------------------------------

r = 0.252
x	u(x,t)
0	0
1	3.07722e-08
2	7.71709e-08
3	1.6166e-07
4	3.22869e-07
5	6.30624e-07
6	1.21144e-06
7	2.29199e-06
8	4.27238e-06
9	7.84763e-06
10	1.42057e-05
11	2.53443e-05
12	4.45685e-05
13	7.72578e-05
14	0.000132026
15	0.000222441
16	0.000369524
17	0.000605312
18	0.000977824
19	0.00155783
20	0.00244792
21	0.00379422
22	0.00580144
23	0.00875131
24	0.0130248
25	0.019128
26	0.0277207
27	0.0396477
28	0.0559693
29	0.0779908
30	0.107286
31	0.145711
32	0.195408
33	0.258785
34	0.338485
35	0.437315
36	0.558168
37	0.703902
38	0.877206
39	1.08045
40	1.3155
41	1.5836
42	1.88518
43	2.21974
44	2.58578
45	2.98075
46	3.40109
47	3.84227
48	4.29898
49	4.76525
50	5.23475
51	5.70102
52	6.15773
53	6.59891
54	7.01925
55	7.41422
56	7.78026
57	8.11482
58	8.4164
59	8.6845
60	8.91955
61	9.12279
62	9.2961
63	9.44183
64	9.56268
65	9.66152
66	9.74121
67	9.80459
68	9.85429
69	9.89271
70	9.92201
71	9.94403
72	9.96035
73	9.97228
74	9.98087
75	9.98698
76	9.99125
77	9.9942
78	9.99621
79	9.99755
80	9.99844
81	9.99902
82	9.99939
83	9.99963
84	9.99978
85	9.99987
86	9.99992
87	9.99996
88	9.99997
89	9.99999
90	9.99999
91	10
92	10
93	10
94	10
95	10
96	10
97	10
98	10
99	10
100	10
-------------------------------------------------------------

r = 0.312
x	u(x,t)
0	0
1	2.6663e-08
2	6.7537e-08
3	1.4332e-07
4	2.90133e-07
5	5.74082e-07
6	1.1162e-06
7	2.13532e-06
8	4.02076e-06
9	7.45355e-06
10	1.3605e-05
11	2.44553e-05
12	4.32962e-05
13	7.55065e-05
14	0.000129728
15	0.000219612
16	0.000366355
17	0.000602321
18	0.000976079
19	0.00155928
20	0.00245585
21	0.00381384
22	0.00584063
23	0.00882153
24	0.0131421
25	0.0193141
26	0.028004
27	0.040064
28	0.0565626
29	0.0788128
30	0.108395
31	0.147171
32	0.197284
33	0.261141
34	0.341375
35	0.440782
36	0.562232
37	0.708555
38	0.88241
39	1.08612
40	1.32154
41	1.58984
42	1.89144
43	2.2258
44	2.59142
45	2.98576
46	3.40524
47	3.84538
48	4.3009
49	4.7659
50	5.2341
51	5.6991
52	6.15462
53	6.59476
54	7.01424
55	7.40858
56	7.7742
57	8.10856
58	8.41016
59	8.67846
60	8.91388
61	9.11759
62	9.29144
63	9.43777
64	9.55922
65	9.65862
66	9.73886
67	9.80272
68	9.85283
69	9.8916
70	9.92119
71	9.94344
72	9.95994
73	9.972
74	9.98069
75	9.98686
76	9.99118
77	9.99416
78	9.99619
79	9.99754
80	9.99844
81	9.99902
82	9.9994
83	9.99963
84	9.99978
85	9.99987
86	9.99992
87	9.99996
88	9.99998
89	9.99999
90	9.99999
91	10
92	10
93	10
94	10
95	10
96	10
97	10
98	10
99	10
100	10
-------------------------------------------------------------

r = 0.372
x	u(x,t)
0	0
1	1.98965e-08
2	5.11832e-08
3	1.108e-07
4	2.29013e-07
5	4.62326e-07
6	9.15992e-07
7	1.78323e-06
8	3.41258e-06
9	6.42151e-06
10	1.18842e-05
11	2.1636e-05
12	3.87566e-05
13	6.83225e-05
14	0.000118554
15	0.000202526
16	0.000340673
17	0.000564371
18	0.000920947
19	0.00148054
20	0.00234526
21	0.00366114
22	0.00563332
23	0.00854479
24	0.0127789
25	0.0188453
26	0.0274091
27	0.0393218
28	0.0556522
29	0.0777149
30	0.107094
31	0.145654
32	0.195547
33	0.259185
34	0.339211
35	0.43843
36	0.559721
37	0.705925
38	0.879704
39	1.0834
40	1.31884
41	1.58724
42	1.88898
43	2.22355
44	2.58943
45	2.98406
46	3.40388
47	3.84439
48	4.3003
49	4.7657
50	5.2343
51	5.6997
52	6.15561
53	6.59612
54	7.01594
55	7.41057
56	7.77645
57	8.11102
58	8.41276
59	8.68116
60	8.9166
61	9.1203
62	9.29408
63	9.44028
64	9.56157
65	9.66079
66	9.74081
67	9.80445
68	9.85435
69	9.89291
70	9.92229
71	9.94435
72	9.96068
73	9.97259
74	9.98115
75	9.98722
76	9.99146
77	9.99437
78	9.99634
79	9.99765
80	9.99852
81	9.99908
82	9.99944
83	9.99966
84	9.9998
85	9.99988
86	9.99993
87	9.99996
88	9.99998
89	9.99999
90	9.99999
91	10
92	10
93	10
94	10
95	10
96	10
97	10
98	10
99	10
100	10
-------------------------------------------------------------

r = 0.432
x	u(x,t)
0	0
1	1.71482e-08
2	4.46727e-08
3	9.82495e-08
4	2.0636e-07
5	4.22921e-07
6	8.4951e-07
7	1.67441e-06
8	3.24013e-06
9	6.15782e-06
10	1.14973e-05
11	2.10962e-05
12	3.80517e-05
13	6.74878e-05
14	0.000117726
15	0.000202035
16	0.000341187
17	0.000567112
18	0.000928016
19	0.00149536
20	0.00237317
21	0.00371016
22	0.00571509
23	0.00867568
24	0.0129812
25	0.0191484
26	0.0278507
27	0.0399487
28	0.0565205
29	0.0788898
30	0.108648
31	0.147665
32	0.198092
33	0.262339
34	0.343036
35	0.44297
36	0.564993
37	0.711912
38	0.88635
39	1.0906
40	1.32645
41	1.59507
42	1.8968
43	2.2311
44	2.59643
45	2.99025
46	3.409
47	3.84822
48	4.30266
49	4.7665
50	5.2335
51	5.69734
52	6.15178
53	6.591
54	7.00975
55	7.40357
56	7.7689
57	8.1032
58	8.40493
59	8.67355
60	8.9094
61	9.11365
62	9.28809
63	9.43501
64	9.55703
65	9.65696
66	9.73766
67	9.80191
68	9.85234
69	9.89135
70	9.92111
71	9.94348
72	9.96005
73	9.97215
74	9.98085
75	9.98702
76	9.99132
77	9.99428
78	9.99629
79	9.99763
80	9.9985
81	9.99907
82	9.99943
83	9.99966
84	9.9998
85	9.99988
86	9.99993
87	9.99996
88	9.99998
89	9.99999
90	9.99999
91	10
92	10
93	10
94	10
95	10
96	10
97	10
98	10
99	10
100	10
-------------------------------------------------------------

r = 0.492
x	u(x,t)
0	0
1	1.30396e-08
2	3.88795e-08
3	7.78817e-08
4	1.86084e-07
5	3.5066e-07
6	7.90462e-07
7	1.44194e-06
8	3.09203e-06
9	5.47005e-06
10	1.1193e-05
11	1.92192e-05
12	3.76246e-05
13	6.27517e-05
14	0.000117795
15	0.000190963
16	0.000344414
17	0.000543072
18	0.000942736
19	0.00144674
20	0.00242112
21	0.00361826
22	0.00584574
23	0.00851242
24	0.0132946
25	0.0188737
26	0.0285288
27	0.0395067
28	0.0578607
29	0.0782
30	0.111087
31	0.146607
32	0.202201
33	0.260727
34	0.349469
35	0.440519
36	0.574372
37	0.708216
38	0.899114
39	1.08513
40	1.34269
41	1.58722
42	1.91611
43	2.22032
44	2.61794
45	2.97618
46	3.43143
47	3.83087
48	4.3246
49	4.74637
50	5.25363
51	5.6754
52	6.16913
53	6.56857
54	7.02382
55	7.38206
56	7.77968
57	8.08389
58	8.41278
59	8.65731
60	8.91487
61	9.10089
62	9.29178
63	9.42563
64	9.55948
65	9.65053
66	9.73927
67	9.7978
68	9.85339
69	9.88891
70	9.9218
71	9.94214
72	9.96049
73	9.97147
74	9.98113
75	9.98671
76	9.99149
77	9.99415
78	9.99638
79	9.99758
80	9.99855
81	9.99906
82	9.99946
83	9.99966
84	9.99981
85	9.99988
86	9.99994
87	9.99996
88	9.99998
89	9.99999
90	9.99999
91	10
92	10
93	10
94	10
95	10
96	10
97	10
98	10
99	10
100	10
