Datos Ecuación Calor para el Oro: k = 1.27
Estamos usando incremento x = 1
Se muestran los resultados para distintos valores de r a tiempo = 300s.
-------------------------------------------------------------

r = 0.127
x	u(x,t)
0	0
1	0.0579428
2	0.116054
3	0.174501
4	0.233449
5	0.293065
6	0.35351
7	0.414943
8	0.47752
9	0.541393
10	0.606709
11	0.67361
12	0.742231
13	0.812703
14	0.885149
15	0.959684
16	1.03642
17	1.11545
18	1.19687
19	1.28075
20	1.36719
21	1.45622
22	1.54792
23	1.64232
24	1.73944
25	1.83933
26	1.94197
27	2.04738
28	2.15553
29	2.26641
30	2.37998
31	2.4962
32	2.615
33	2.73632
34	2.86007
35	2.98618
36	3.11454
37	3.24503
38	3.37755
39	3.51197
40	3.64814
41	3.78593
42	3.92518
43	4.06574
44	4.20745
45	4.35013
46	4.49362
47	4.63774
48	4.7823
49	4.92713
50	5.07205
51	5.21686
52	5.3614
53	5.50548
54	5.64891
55	5.79153
56	5.93315
57	6.07361
58	6.21275
59	6.3504
60	6.48642
61	6.62066
62	6.75299
63	6.88326
64	7.01137
65	7.1372
66	7.26066
67	7.38164
68	7.50006
69	7.61586
70	7.72898
71	7.83937
72	7.94698
73	8.05179
74	8.15378
75	8.25296
76	8.34931
77	8.44287
78	8.53366
79	8.62171
80	8.70707
81	8.78981
82	8.86999
83	8.94768
84	9.02297
85	9.09597
86	9.16676
87	9.23546
88	9.3022
89	9.36708
90	9.43025
91	9.49185
92	9.552
93	9.61087
94	9.6686
95	9.72535
96	9.78127
97	9.83654
98	9.8913
99	9.94573
100	10
-------------------------------------------------------------

r = 0.1905
x	u(x,t)
0	0
1	0.0579286
2	0.116026
3	0.174458
4	0.233393
5	0.292995
6	0.353427
7	0.414847
8	0.477412
9	0.541273
10	0.606577
11	0.673467
12	0.742078
13	0.812541
14	0.884978
15	0.959505
16	1.03623
17	1.11525
18	1.19667
19	1.28055
20	1.36698
21	1.45601
22	1.5477
23	1.6421
24	1.73923
25	1.83911
26	1.94176
27	2.04717
28	2.15532
29	2.26621
30	2.37978
31	2.496
32	2.61481
33	2.73613
34	2.8599
35	2.98601
36	3.11438
37	3.24488
38	3.37741
39	3.51184
40	3.64802
41	3.78582
42	3.92509
43	4.06566
44	4.20738
45	4.35008
46	4.49358
47	4.6377
48	4.78228
49	4.92713
50	5.07205
51	5.21689
52	5.36144
53	5.50553
54	5.64897
55	5.7916
56	5.93324
57	6.07371
58	6.21286
59	6.35053
60	6.48656
61	6.62081
62	6.75314
63	6.88343
64	7.01155
65	7.13739
66	7.26085
67	7.38183
68	7.50027
69	7.61607
70	7.7292
71	7.83958
72	7.9472
73	8.05201
74	8.15401
75	8.25318
76	8.34954
77	8.4431
78	8.53388
79	8.62193
80	8.70729
81	8.79002
82	8.87019
83	8.94788
84	9.02317
85	9.09615
86	9.16694
87	9.23563
88	9.30235
89	9.36723
90	9.43039
91	9.49197
92	9.55211
93	9.61097
94	9.66869
95	9.72542
96	9.78133
97	9.83658
98	9.89133
99	9.94575
100	10
-------------------------------------------------------------

r = 0.254
x	u(x,t)
0	0
1	0.0579785
2	0.116125
3	0.174607
4	0.233591
5	0.293242
6	0.353721
7	0.415187
8	0.477797
9	0.541702
10	0.607049
11	0.67398
12	0.742631
13	0.81313
14	0.885602
15	0.960163
16	1.03692
17	1.11597
18	1.19741
19	1.28131
20	1.36776
21	1.45681
22	1.54852
23	1.64293
24	1.74006
25	1.83995
26	1.94259
27	2.048
28	2.15615
29	2.26703
30	2.38059
31	2.49679
32	2.61558
33	2.73688
34	2.86062
35	2.9867
36	3.11503
37	3.2455
38	3.37799
39	3.51238
40	3.64852
41	3.78627
42	3.92549
43	4.06601
44	4.20768
45	4.35032
46	4.49377
47	4.63784
48	4.78236
49	4.92715
50	5.07203
51	5.2168
52	5.3613
53	5.50533
54	5.64872
55	5.7913
56	5.93288
57	6.07331
58	6.21241
59	6.35003
60	6.48601
61	6.62022
62	6.75252
63	6.88277
64	7.01085
65	7.13666
66	7.26009
67	7.38106
68	7.49947
69	7.61526
70	7.72837
71	7.83875
72	7.94635
73	8.05116
74	8.15316
75	8.25233
76	8.3487
77	8.44226
78	8.53306
79	8.62112
80	8.7065
81	8.78926
82	8.86945
83	8.94717
84	9.02248
85	9.0955
86	9.16632
87	9.23505
88	9.30181
89	9.36672
90	9.42992
91	9.49155
92	9.55173
93	9.61063
94	9.6684
95	9.72518
96	9.78114
97	9.83643
98	9.89123
99	9.9457
100	10
-------------------------------------------------------------

r = 0.3175
x	u(x,t)
0	0
1	0.0579964
2	0.116161
3	0.174661
4	0.233662
5	0.29333
6	0.353826
7	0.415309
8	0.477936
9	0.541857
10	0.60722
11	0.674165
12	0.74283
13	0.813344
14	0.885829
15	0.960402
16	1.03717
17	1.11623
18	1.19768
19	1.28159
20	1.36805
21	1.45711
22	1.54882
23	1.64323
24	1.74037
25	1.84026
26	1.94291
27	2.04831
28	2.15646
29	2.26733
30	2.38089
31	2.49709
32	2.61587
33	2.73716
34	2.86089
35	2.98696
36	3.11528
37	3.24574
38	3.37822
39	3.51258
40	3.64871
41	3.78644
42	3.92564
43	4.06615
44	4.2078
45	4.35042
46	4.49384
47	4.6379
48	4.7824
49	4.92716
50	5.07202
51	5.21677
52	5.36124
53	5.50526
54	5.64863
55	5.79118
56	5.93275
57	6.07315
58	6.21224
59	6.34984
60	6.48581
61	6.62
62	6.75228
63	6.88252
64	7.01059
65	7.13639
66	7.25981
67	7.38077
68	7.49917
69	7.61496
70	7.72806
71	7.83844
72	7.94604
73	8.05085
74	8.15285
75	8.25202
76	8.34839
77	8.44196
78	8.53276
79	8.62083
80	8.70622
81	8.78898
82	8.86919
83	8.94691
84	9.02224
85	9.09527
86	9.1661
87	9.23484
88	9.30161
89	9.36654
90	9.42976
91	9.4914
92	9.5516
93	9.61051
94	9.66829
95	9.72509
96	9.78107
97	9.83638
98	9.8912
99	9.94568
100	10
-------------------------------------------------------------

r = 0.381
x	u(x,t)
0	0
1	0.0579502
2	0.116069
3	0.174523
4	0.233479
5	0.293102
6	0.353555
7	0.414996
8	0.477581
9	0.541462
10	0.606786
11	0.673695
12	0.742325
13	0.812805
14	0.88526
15	0.959804
16	1.03654
17	1.11558
18	1.19701
19	1.28091
20	1.36734
21	1.45639
22	1.54809
23	1.64249
24	1.73963
25	1.83952
26	1.94217
27	2.04757
28	2.15573
29	2.26661
30	2.38019
31	2.4964
32	2.6152
33	2.73651
34	2.86026
35	2.98637
36	3.11472
37	3.2452
38	3.37771
39	3.51212
40	3.64828
41	3.78606
42	3.9253
43	4.06585
44	4.20754
45	4.35021
46	4.49368
47	4.63778
48	4.78233
49	4.92714
50	5.07204
51	5.21684
52	5.36137
53	5.50543
54	5.64884
55	5.79145
56	5.93305
57	6.0735
58	6.21263
59	6.35027
60	6.48628
61	6.62051
62	6.75283
63	6.8831
64	7.0112
65	7.13703
66	7.26047
67	7.38145
68	7.49988
69	7.61568
70	7.7288
71	7.83918
72	7.9468
73	8.05161
74	8.15361
75	8.25279
76	8.34915
77	8.44271
78	8.53351
79	8.62156
80	8.70694
81	8.78968
82	8.86987
83	8.94757
84	9.02287
85	9.09587
86	9.16667
87	9.23538
88	9.30212
89	9.36702
90	9.43019
91	9.49179
92	9.55196
93	9.61083
94	9.66857
95	9.72532
96	9.78125
97	9.83652
98	9.89129
99	9.94573
100	10
-------------------------------------------------------------

r = 0.4445
x	u(x,t)
0	0
1	0.0580215
2	0.116211
3	0.174736
4	0.233762
5	0.293454
6	0.353974
7	0.415481
8	0.478131
9	0.542075
10	0.60746
11	0.674427
12	0.743112
13	0.813646
14	0.88615
15	0.96074
16	1.03752
17	1.1166
18	1.19806
19	1.28199
20	1.36846
21	1.45753
22	1.54925
23	1.64367
24	1.74081
25	1.8407
26	1.94335
27	2.04876
28	2.15691
29	2.26777
30	2.38133
31	2.49752
32	2.61629
33	2.73757
34	2.86128
35	2.98734
36	3.11564
37	3.24608
38	3.37854
39	3.51288
40	3.64898
41	3.78669
42	3.92587
43	4.06635
44	4.20797
45	4.35056
46	4.49395
47	4.63798
48	4.78244
49	4.92718
50	5.072
51	5.21672
52	5.36117
53	5.50515
54	5.64849
55	5.79102
56	5.93255
57	6.07293
58	6.21199
59	6.34957
60	6.48551
61	6.61968
62	6.75194
63	6.88216
64	7.01022
65	7.136
66	7.25941
67	7.38035
68	7.49875
69	7.61452
70	7.72762
71	7.83799
72	7.94559
73	8.0504
74	8.1524
75	8.25158
76	8.34795
77	8.44153
78	8.53234
79	8.62042
80	8.70582
81	8.78859
82	8.86881
83	8.94655
84	9.02189
85	9.09494
86	9.16579
87	9.23455
88	9.30134
89	9.36629
90	9.42953
91	9.49119
92	9.55141
93	9.61035
94	9.66815
95	9.72497
96	9.78097
97	9.83631
98	9.89115
99	9.94566
100	10
-------------------------------------------------------------

r = 0.508
x	u(x,t)
0	0
1	-3.40905e+07
2	6.81953e+07
3	-1.02328e+08
4	1.36503e+08
5	-1.70731e+08
6	2.05021e+08
7	-2.39383e+08
8	2.73821e+08
9	-3.08338e+08
10	3.42932e+08
11	-3.776e+08
12	4.12333e+08
13	-4.4712e+08
14	4.81943e+08
15	-5.16782e+08
16	5.51612e+08
17	-5.86403e+08
18	6.21119e+08
19	-6.55724e+08
20	6.90171e+08
21	-7.24415e+08
22	7.58402e+08
23	-7.92077e+08
24	8.25378e+08
25	-8.58244e+08
26	8.90607e+08
27	-9.22397e+08
28	9.53543e+08
29	-9.83971e+08
30	1.01361e+09
31	-1.04237e+09
32	1.07019e+09
33	-1.09698e+09
34	1.12268e+09
35	-1.14719e+09
36	1.17046e+09
37	-1.19241e+09
38	1.21297e+09
39	-1.23207e+09
40	1.24965e+09
41	-1.26566e+09
42	1.28003e+09
43	-1.29272e+09
44	1.30369e+09
45	-1.3129e+09
46	1.32032e+09
47	-1.32592e+09
48	1.32968e+09
