Datos Ecuación Calor para la Plata: k = 1.71
Estamos usando incremento x = 1
Se muestran los resultados para distintos valores de r a tiempo = 300s.
-------------------------------------------------------------

r = 0.0855
x	u(x,t)
0	0
1	0.0754802
2	0.151062
3	0.226849
4	0.30294
5	0.379435
6	0.456434
7	0.534031
8	0.61232
9	0.691394
10	0.771339
11	0.852241
12	0.93418
13	1.01723
14	1.10147
15	1.18696
16	1.27377
17	1.36195
18	1.45156
19	1.54264
20	1.63523
21	1.72936
22	1.82507
23	1.92238
24	2.02129
25	2.12183
26	2.22399
27	2.32777
28	2.43315
29	2.54012
30	2.64866
31	2.75874
32	2.87032
33	2.98335
34	3.09779
35	3.21358
36	3.33067
37	3.44899
38	3.56846
39	3.68902
40	3.81058
41	3.93306
42	4.05638
43	4.18043
44	4.30513
45	4.43038
46	4.55608
47	4.68213
48	4.80842
49	4.93485
50	5.06132
51	5.18773
52	5.31395
53	5.4399
54	5.56547
55	5.69055
56	5.81505
57	5.93887
58	6.06191
59	6.18408
60	6.3053
61	6.42547
62	6.54451
63	6.66236
64	6.77892
65	6.89415
66	7.00798
67	7.12034
68	7.2312
69	7.3405
70	7.44821
71	7.55429
72	7.65872
73	7.76147
74	7.86254
75	7.96192
76	8.05961
77	8.1556
78	8.24992
79	8.34259
80	8.43363
81	8.52307
82	8.61095
83	8.69731
84	8.78221
85	8.86569
86	8.94782
87	9.02866
88	9.10829
89	9.18678
90	9.26421
91	9.34066
92	9.41622
93	9.49098
94	9.56503
95	9.63847
96	9.7114
97	9.78391
98	9.85611
99	9.92811
100	10
-------------------------------------------------------------

r = 0.171
x	u(x,t)
0	0
1	0.0755064
2	0.151115
3	0.226927
4	0.303044
5	0.379565
6	0.456588
7	0.534209
8	0.612522
9	0.691619
10	0.771586
11	0.852508
12	0.934467
13	1.01754
14	1.10179
15	1.1873
16	1.27412
17	1.36232
18	1.45194
19	1.54303
20	1.63563
21	1.72977
22	1.82548
23	1.92279
24	2.02171
25	2.12225
26	2.22441
27	2.32818
28	2.43356
29	2.54053
30	2.64906
31	2.75913
32	2.8707
33	2.98372
34	3.09814
35	3.21392
36	3.33099
37	3.44929
38	3.56875
39	3.68929
40	3.81083
41	3.93328
42	4.05657
43	4.1806
44	4.30528
45	4.4305
46	4.55617
47	4.68219
48	4.80846
49	4.93487
50	5.06131
51	5.18768
52	5.31388
53	5.43981
54	5.56535
55	5.69041
56	5.81488
57	5.93867
58	6.06169
59	6.18384
60	6.30503
61	6.42518
62	6.5442
63	6.66203
64	6.77858
65	6.89379
66	7.0076
67	7.11996
68	7.2308
69	7.34009
70	7.44779
71	7.55387
72	7.65829
73	7.76104
74	7.86211
75	7.96149
76	8.05917
77	8.15517
78	8.2495
79	8.34218
80	8.43322
81	8.52267
82	8.61056
83	8.69694
84	8.78185
85	8.86534
86	8.94749
87	9.02836
88	9.108
89	9.18651
90	9.26396
91	9.34043
92	9.41602
93	9.4908
94	9.56487
95	9.63834
96	9.71129
97	9.78383
98	9.85606
99	9.92808
100	10
-------------------------------------------------------------

r = 0.2565
x	u(x,t)
0	0
1	0.0754978
2	0.151098
3	0.226901
4	0.30301
5	0.379522
6	0.456537
7	0.53415
8	0.612456
9	0.691545
10	0.771505
11	0.852421
12	0.934373
13	1.01744
14	1.10169
15	1.18719
16	1.27401
17	1.3622
18	1.45182
19	1.5429
20	1.6355
21	1.72964
22	1.82535
23	1.92266
24	2.02158
25	2.12212
26	2.22428
27	2.32805
28	2.43343
29	2.5404
30	2.64894
31	2.75901
32	2.87058
33	2.9836
34	3.09803
35	3.21382
36	3.33089
37	3.4492
38	3.56866
39	3.68921
40	3.81075
41	3.93322
42	4.05652
43	4.18055
44	4.30524
45	4.43047
46	4.55615
47	4.68218
48	4.80845
49	4.93487
50	5.06132
51	5.1877
52	5.31391
53	5.43984
54	5.56539
55	5.69046
56	5.81494
57	5.93874
58	6.06177
59	6.18392
60	6.30512
61	6.42528
62	6.54431
63	6.66214
64	6.77869
65	6.89391
66	7.00773
67	7.12009
68	7.23093
69	7.34023
70	7.44793
71	7.55401
72	7.65843
73	7.76119
74	7.86226
75	7.96163
76	8.05932
77	8.15532
78	8.24965
79	8.34232
80	8.43336
81	8.52281
82	8.61069
83	8.69707
84	8.78197
85	8.86546
86	8.94761
87	9.02846
88	9.10811
89	9.18661
90	9.26405
91	9.34051
92	9.41609
93	9.49086
94	9.56493
95	9.63838
96	9.71133
97	9.78386
98	9.85608
99	9.92809
100	10
-------------------------------------------------------------

r = 0.342
x	u(x,t)
0	0
1	0.0755415
2	0.151185
3	0.227032
4	0.303183
5	0.379737
6	0.456793
7	0.534447
8	0.612792
9	0.691918
10	0.771915
11	0.852865
12	0.93485
13	1.01795
14	1.10223
15	1.18776
16	1.2746
17	1.36281
18	1.45245
19	1.54355
20	1.63616
21	1.73031
22	1.82604
23	1.92335
24	2.02228
25	2.12282
26	2.22497
27	2.32874
28	2.43412
29	2.54108
30	2.6496
31	2.75966
32	2.87121
33	2.98421
34	3.09862
35	3.21438
36	3.33143
37	3.4497
38	3.56913
39	3.68964
40	3.81115
41	3.93358
42	4.05684
43	4.18083
44	4.30548
45	4.43066
46	4.5563
47	4.68229
48	4.80852
49	4.93489
50	5.06129
51	5.18763
52	5.31379
53	5.43968
54	5.56518
55	5.69021
56	5.81465
57	5.93841
58	6.06139
59	6.18351
60	6.30467
61	6.42479
62	6.54379
63	6.66159
64	6.77812
65	6.89331
66	7.0071
67	7.11944
68	7.23027
69	7.33955
70	7.44724
71	7.5533
72	7.65772
73	7.76047
74	7.86154
75	7.96091
76	8.0586
77	8.15461
78	8.24894
79	8.34162
80	8.43268
81	8.52214
82	8.61005
83	8.69644
84	8.78137
85	8.86489
86	8.94706
87	9.02795
88	9.10762
89	9.18616
90	9.26363
91	9.34014
92	9.41575
93	9.49056
94	9.56467
95	9.63817
96	9.71115
97	9.78373
98	9.85599
99	9.92805
