Datos Ecuación Calor para la Plata: k = 1.71
Estamos usando incremento x = 0.5 y incremento t = 0.05
r = 0.342

x	u(x,t) con t=300
0	0
2	0.0038175
4	0.00766753
6	0.0115828
8	0.0155962
10	0.0197412
12	0.0240517
14	0.0285625
16	0.0333089
18	0.0383276
20	0.0436562
22	0.0493334
24	0.0553997
26	0.0618967
28	0.0688679
30	0.0763584
32	0.0844152
34	0.0930873
36	0.102426
38	0.112484
40	0.123317
42	0.134984
44	0.147544
46	0.16106
48	0.175597
50	0.191224
52	0.20801
54	0.22603
56	0.245359
58	0.266076
60	0.288262
62	0.312
64	0.337378
66	0.364484
68	0.393409
70	0.424248
72	0.457097
74	0.492053
76	0.529217
78	0.56869
80	0.610577
82	0.654982
84	0.702012
86	0.751774
88	0.804375
90	0.859924
92	0.918529
94	0.980299
96	1.04534
98	1.11376
100	1.18567
102	1.26116
104	1.34035
106	1.42333
108	1.51019
110	1.60104
112	1.69596
114	1.79503
116	1.89835
118	2.00597
120	2.11799
122	2.23446
124	2.35543
126	2.48097
128	2.61112
130	2.74592
132	2.88539
134	3.02955
136	3.17843
138	3.33202
140	3.49032
142	3.65332
144	3.82099
146	3.99329
148	4.17019
150	4.35163
152	4.53754
154	4.72785
156	4.92247
158	5.1213
160	5.32425
162	5.53119
164	5.742
166	5.95653
168	6.17465
170	6.3962
172	6.621
174	6.8489
176	7.0797
178	7.31321
180	7.54924
182	7.78758
184	8.02802
186	8.27034
188	8.51432
190	8.75973
192	9.00633
194	9.2539
196	9.5022
198	9.75098
200	10
